Rank,R2,RMSE,MAE,RPD,RPIQ,Composite,Model
1,-0.024529953759062195,1.8041869662041798,0.9746042849768451,0.9879561519311807,0.2050785239727351,0.14447976729743514,LightGBMLarge
2,-0.031431647367544446,1.8102536729271688,0.9623380586282528,0.9846452125205469,0.204391243908768,0.14384709008142266,ExtraTreesMSE
3,-0.040083706407181285,1.8178303810308152,0.9916388075387299,0.9805412161087966,0.20353934220759842,0.14194455700594483,RandomForestMSE
4,-0.04441810333051466,1.8216142142791636,0.9692468140374366,0.9785044487044774,0.203116552945001,0.14192133204185203,CatBoost
5,-0.04088109950613461,1.818527078649601,0.989956547609016,0.9801655600416395,0.20346136405884818,0.14187920020213596,WeightedEnsemble_L2
6,-0.049698542275480095,1.826213328009945,1.0421574184787807,0.97604019484287,0.2026050266554539,0.13939106295175296,NeuralNetTorch
7,-0.05434346534423207,1.830249371152888,1.0333410194026889,0.9738878431482204,0.20215824457130357,0.13899161396081974,LightGBM
8,-0.06844171908315655,1.8424454130155463,0.9889901842643963,0.967441206075196,0.20082006087464915,0.13823306342808067,LightGBMXT
9,-0.08480426152708032,1.8564997807101462,0.9571129608154295,0.960117329943152,0.19929978114970104,0.13688870060048175,XGBoost
