Held_Out_Series,Selected_Model,N_Train_Images,N_Train_Soils,N_Test_Images,N_Test_Soils,R2,RMSE,MAE,RPD,RPIQ,Training_Mean_SOC,Baseline_R2,Baseline_RMSE,Baseline_MAE,Baseline_RPD,Baseline_RPIQ
1,WeightedEnsemble_L2,263,6,468,14,-0.03935064978649394,1.2766965500907699,0.8918146764850005,0.9819365827985214,0.6422826159761302,2.371254752851711,-0.03492522235120332,1.2739756421116877,0.903009976926327,0.9840337650324459,0.643654378384192
2,WeightedEnsemble_L2,507,15,224,5,-1.71197675520157,0.5281317596405685,0.42792339169021154,0.6085953029902726,1.363296160204438,2.165128205128205,-0.32814976404848273,0.3695922264773063,0.31907280219780226,0.8696571119494944,1.9480929208455895
3,WeightedEnsemble_L2,692,19,39,1,0.0,0.6225026728573502,0.5818114341833652,0.0,0.0,2.205722543352601,0.0,0.29427745664739907,0.2942774566473993,0.0,0.0
