Evaluation,R2,RMSE,MAE,RPD,RPIQ
Image-level pooled,-0.09577232821204484,1.0722275484133734,0.7331255188327481,0.9559542183782967,0.8580268258928507
Soil-condition pooled,0.019121247835894195,1.5916468324464847,1.0971016277073784,1.0269610327654175,0.8403246076544248
