model,score_test,score_val,eval_metric,pred_time_test,pred_time_val,fit_time,pred_time_test_marginal,pred_time_val_marginal,fit_time_marginal,stack_level,can_infer,fit_order
WeightedEnsemble_L2,-0.4474041521572938,-0.4474041521572938,root_mean_squared_error,0.07650542259216309,0.0709085464477539,1.385721206665039,0.0019979476928710938,0.0010001659393310547,0.01400303840637207,2,True,9
XGBoost,-0.45042389967524804,-0.45042389967524804,root_mean_squared_error,0.010499000549316406,0.008999824523925781,0.20649075508117676,0.010499000549316406,0.008999824523925781,0.20649075508117676,1,True,6
LightGBMXT,-0.4515706690232262,-0.4515706690232262,root_mean_squared_error,0.0010004043579101562,0.010996818542480469,0.2137768268585205,0.0010004043579101562,0.010996818542480469,0.2137768268585205,1,True,1
CatBoost,-0.4523159481356297,-0.4523159481356297,root_mean_squared_error,0.006001472473144531,0.0019998550415039062,0.5122585296630859,0.006001472473144531,0.0019998550415039062,0.5122585296630859,1,True,4
LightGBM,-0.4526618112587328,-0.4526618112587328,root_mean_squared_error,0.0010001659393310547,0.005999565124511719,0.21174883842468262,0.0010001659393310547,0.005999565124511719,0.21174883842468262,1,True,2
LightGBMLarge,-0.4532572442851771,-0.4532572442851771,root_mean_squared_error,0.00099945068359375,0.006999969482421875,0.5158030986785889,0.00099945068359375,0.006999969482421875,0.5158030986785889,1,True,8
ExtraTreesMSE,-0.5153600335060092,-0.5153600335060092,root_mean_squared_error,0.0570065975189209,0.047911882400512695,0.4391920566558838,0.0570065975189209,0.047911882400512695,0.4391920566558838,1,True,5
RandomForestMSE,-0.5338531463905676,-0.5338531463905676,root_mean_squared_error,0.0895090103149414,0.047533273696899414,0.512927770614624,0.0895090103149414,0.047533273696899414,0.512927770614624,1,True,3
NeuralNetTorch,-0.5587203700647112,-0.5587203700647112,root_mean_squared_error,0.0065119266510009766,0.0030002593994140625,2.2877280712127686,0.0065119266510009766,0.0030002593994140625,2.2877280712127686,1,True,7
