level,N,R2,RMSE,MAE,RPD,RPIQ,LCCC,Bias,Composite
image,658,-0.23976255555324166,1.1049931747290747,0.7050867027352284,0.8981125028903728,0.8325843281571109,0.09636328746527267,-0.06967543381688077,0.2524948794714389
sample,20,0.07809283920109356,1.0949509502846824,0.6202267108597607,1.0414931210893281,0.8584859438275332,0.16646215228683184,-0.12539722448424173,0.28149918266473883
