model,R2,RMSE,MAE,RPD,RPIQ,LCCC,Bias,CV_R2
SVR (RBF),-0.757891937161357,0.47310305935849417,0.3897310394149009,0.7542301912806468,1.6064153147318991,0.1713243763672225,-0.01991964828996309,-0.36168240508931637
SVR (Linear),-3.69552331706429,0.7732174918013851,0.5964992309052848,0.4614854355197052,0.9829058551552007,-0.03193197464088708,-0.14394864573239669,-2.5886452315737074
Ridge,-4.5767025296984984,0.8426522969266395,0.6689590333984011,0.42345889550987775,0.9019141142460622,-0.019260688820646438,-0.16278478438513613,-6.388403913703169
ElasticNet,-4.038590607415409,0.8009662296493385,0.6274330850782848,0.44549769733941863,0.9488539864317704,-0.05050359856677352,-0.19610449323200038,-1.7064549737166435
PLS (n=5),-4.578487113470507,0.8427871134531139,0.6690962759848232,0.4233911568645116,0.9017698394628815,-0.019234691769663085,-0.162770222695628,-2.5375511197914498
PLS (n=10),-4.578487113470499,0.8427871134531132,0.6690962759848227,0.42339115686451195,0.9017698394628823,-0.019234691769662894,-0.16277022269562802,-5.237839683297734
Grad Boosting,-1.3131882338737246,0.542706666819559,0.421641979201672,0.6574981159648364,1.4003881773810736,0.10822751999770448,-0.02233517324019528,-0.5846025244500404
Random Forest,-0.3508360571823721,0.4147257408477232,0.3404369841269839,0.8603965845622173,1.832536361129927,0.15287184670129406,0.07419412698412622,-0.35173459426378156
