model,score_test,score_val,eval_metric,pred_time_test,pred_time_val,fit_time,pred_time_test_marginal,pred_time_val_marginal,fit_time_marginal,stack_level,can_infer,fit_order
ExtraTreesMSE,0.7822804901186405,0.48159546317554214,composite_score,0.1637742519378662,0.047334909439086914,0.3571336269378662,0.1637742519378662,0.047334909439086914,0.3571336269378662,1,True,5
RandomForestMSE,0.7599610395553451,0.4501927917609838,composite_score,0.1597144603729248,0.04706096649169922,0.42998790740966797,0.1597144603729248,0.04706096649169922,0.42998790740966797,1,True,3
LightGBM,0.7169956324837027,0.4865523549609041,composite_score,0.009997844696044922,0.007594108581542969,0.6524944305419922,0.009997844696044922,0.007594108581542969,0.6524944305419922,1,True,2
XGBoost,0.7133903147381618,0.4707140585425828,composite_score,0.02151322364807129,0.007999897003173828,0.6598172187805176,0.02151322364807129,0.007999897003173828,0.6598172187805176,1,True,6
WeightedEnsemble_L2,0.662598267145509,0.5227673397655265,composite_score,0.04951739311218262,0.022593975067138672,5.357882022857666,0.003999233245849609,0.0009996891021728516,0.1584327220916748,2,True,9
LightGBMLarge,0.6518467323336404,0.44209160382365537,composite_score,0.004999876022338867,0.008997440338134766,3.5561184883117676,0.004999876022338867,0.008997440338134766,3.5561184883117676,1,True,8
LightGBMXT,0.6377075179786889,0.47201295640182905,composite_score,0.016299724578857422,0.007000446319580078,1.2860291004180908,0.016299724578857422,0.007000446319580078,1.2860291004180908,1,True,1
CatBoost,0.5800375717283841,0.464046102059255,composite_score,0.010000467300415039,0.0,0.5826325416564941,0.010000467300415039,0.0,0.5826325416564941,1,True,4
NeuralNetTorch,0.5728084091990436,0.49984388607401575,composite_score,0.014007091522216797,0.0060002803802490234,3.8871376514434814,0.014007091522216797,0.0060002803802490234,3.8871376514434814,1,True,7
