model,score_test,score_val,eval_metric,pred_time_test,pred_time_val,fit_time,pred_time_test_marginal,pred_time_val_marginal,fit_time_marginal,stack_level,can_infer,fit_order
ExtraTreesMSE,-0.4179326769396673,-0.4237796202572347,root_mean_squared_error,0.08581733703613281,0.048812150955200195,0.4189870357513428,0.08581733703613281,0.048812150955200195,0.4189870357513428,1,True,5
RandomForestMSE,-0.4181083390056586,-0.43091595798221716,root_mean_squared_error,0.08120608329772949,0.048000335693359375,0.4501655101776123,0.08120608329772949,0.048000335693359375,0.4501655101776123,1,True,3
XGBoost,-0.42085103244232447,-0.4343895259962095,root_mean_squared_error,0.012994766235351562,0.00800013542175293,0.19561076164245605,0.012994766235351562,0.00800013542175293,0.19561076164245605,1,True,6
CatBoost,-0.4368480103813095,-0.4363476889787859,root_mean_squared_error,0.006070613861083984,0.0010004043579101562,0.9603922367095947,0.006070613861083984,0.0010004043579101562,0.9603922367095947,1,True,4
LightGBM,-0.44556222285265407,-0.4571587761058524,root_mean_squared_error,0.002997159957885742,0.007998466491699219,0.21744942665100098,0.002997159957885742,0.007998466491699219,0.21744942665100098,1,True,2
LightGBMXT,-0.45588686879078566,-0.44363137091287,root_mean_squared_error,0.0070154666900634766,0.0075664520263671875,0.3234546184539795,0.0070154666900634766,0.0075664520263671875,0.3234546184539795,1,True,1
WeightedEnsemble_L2,-0.45736550536704484,-0.38946514106334396,root_mean_squared_error,0.21886849403381348,0.07612919807434082,17.391157388687134,0.014002084732055664,0.0009999275207519531,0.006997585296630859,2,True,9
LightGBMLarge,-0.4611718249395466,-0.4303326916346486,root_mean_squared_error,0.11152100563049316,0.02319478988647461,11.723522424697876,0.11152100563049316,0.02319478988647461,11.723522424697876,1,True,8
NeuralNetTorch,-0.48847300476490174,-0.402812575818429,root_mean_squared_error,0.007528066635131836,0.0031223297119140625,5.241650342941284,0.007528066635131836,0.0031223297119140625,5.241650342941284,1,True,7
