Model,Mean_RMSE,SD_RMSE,Mean_MAE,Mean_R2,Folds_Evaluated
WeightedEnsemble_L2,0.6077535360641939,0.20712442224764444,0.4811002833843231,0.19484429288242291,4
LightGBMLarge,0.6256293017808633,0.19878628405179155,0.49062744474411,0.1578667837082858,4
NeuralNetTorch,0.707799303157073,0.31899493806251433,0.5295584461688995,-0.049933693425402825,4
CatBoost,0.7204030829573237,0.19821197982864533,0.6109772720336913,-0.20082740998509935,4
ExtraTreesMSE,0.755108730172702,0.21027036024800397,0.6073183448314666,-0.22652902622230925,4
RandomForestMSE,0.7806187932425412,0.15846369542597102,0.6358683247566222,-0.4052359754295915,4
XGBoost,0.7892820253796964,0.239203821385074,0.6396055915355682,-0.518579854351973,4
LightGBM,0.8450394109061856,0.2321695583699712,0.6891999857425689,-0.7123064135303439,4
LightGBMXT,0.8450394109061856,0.2321695583699712,0.6891999857425689,-0.7123064135303439,4
