Fold,Model,RMSE,MAE,R2,N_Train_Groups,N_Tune_Groups
1,LightGBMXT,1.191409421074944,0.7307999820709227,-0.3387864898912465,12,3
1,LightGBM,1.191409421074944,0.7307999820709227,-0.3387864898912465,12,3
1,RandomForestMSE,0.9853674931329711,0.6966533393859862,0.0842314530423256,12,3
1,CatBoost,1.0007943653646045,0.7534182996749876,0.05533252181969106,12,3
1,ExtraTreesMSE,1.0406413086069157,0.7117866773605346,-0.02138948817937747,12,3
1,XGBoost,1.1381277173811606,0.77277588558197,-0.22171881231631896,12,3
1,NeuralNetTorch,1.114475183806779,0.623089549064636,-0.17146701864564218,12,3
1,LightGBMLarge,0.8576945956147096,0.6381068696975707,0.3061675488309613,12,3
1,WeightedEnsemble_L2,0.8534078693984326,0.6258284797668456,0.3130857155713599,12,3
2,LightGBMXT,0.6954732985588774,0.6422666692733765,-0.013636706390022457,11,4
2,LightGBM,0.6954732985588774,0.6422666692733765,-0.013636706390022457,11,4
2,RandomForestMSE,0.6832519532994256,0.5935999774932862,0.02167495496948635,11,4
2,CatBoost,0.5623207064514949,0.5345201635360718,0.33734182585857564,11,4
2,ExtraTreesMSE,0.6612983697905036,0.5886133575439454,0.08353409666961964,11,4
2,XGBoost,0.593911519153393,0.569453706741333,0.26079498427605097,11,4
2,NeuralNetTorch,0.4266433933835125,0.39625469684600834,0.6185378453279322,11,4
2,LightGBMLarge,0.4745446342427822,0.4006279716491699,0.5280722209653965,11,4
2,WeightedEnsemble_L2,0.42653046423167157,0.396170129776001,0.618739758668321,11,4
3,LightGBMXT,0.7467336266227496,0.6881333351135253,-0.02273430920802766,11,4
3,LightGBM,0.7467336266227496,0.6881333351135253,-0.02273430920802766,11,4
3,RandomForestMSE,0.8222286102595632,0.7117266578674315,-0.23998541409161267,11,4
3,CatBoost,0.7174505354721347,0.6343829631805419,0.05590578624021891,11,4
3,ExtraTreesMSE,0.7686389637811901,0.666500012397766,-0.08361797277156535,11,4
3,XGBoost,0.7097933744952137,0.5848203182220458,0.07595038576031743,11,4
3,NeuralNetTorch,0.8077687902821094,0.7940707206726073,-0.1967558152251998,11,4
3,LightGBMLarge,0.7240421057622402,0.6431329011917113,0.03847838119824232,11,4
3,WeightedEnsemble_L2,0.7048399391229504,0.6217604875564574,0.08880271345146773,11,4
4,LightGBMXT,0.7465412973681715,0.6955999565124512,-2.474068148632079,11,4
4,LightGBM,0.7465412973681715,0.6955999565124512,-2.474068148632079,11,4
4,RandomForestMSE,0.6316271162782052,0.5414933242797851,-1.4868648956385653,11,4
4,CatBoost,0.6010467245410606,0.5215876617431641,-1.251889773858883,11,4
4,ExtraTreesMSE,0.5498562785121982,0.46237333202362063,-0.8846427406079138,11,4
4,XGBoost,0.7152954904890182,0.6313724555969238,-2.1893459751279414,11,4
4,NeuralNetTorch,0.48230984515589104,0.3048188180923462,-0.45004978515870153,11,4
4,LightGBMLarge,0.44623587150372124,0.2806420364379883,-0.24125101616145694,11,4
4,WeightedEnsemble_L2,0.44623587150372124,0.2806420364379883,-0.24125101616145694,11,4
