Sample_No,image_no,moisture,soil_type,soc,SI,luv_v,median_h,CI,luv_u,mean_r,median_s,entropy,xyz_Z
18,402,13.6,1,1.27,1.262172776,26.74862615,19,0.402226935,14.42775104,152.5811942,90,14.9013951,0.151757948
18,403,13.6,1,1.27,1.291392086,29.14217902,19,0.402617487,15.6816852,157.0696349,95,15.04076916,0.152276091
18,404,13.6,1,1.27,1.435464819,29.43565271,19,0.45328781,16.17754705,156.1298828,98,14.85794755,0.146385956
18,405,13.6,1,1.27,1.512423448,26.57806211,19,0.479521869,14.20672217,153.462771,88,14.39744708,0.156023275
18,406,13.6,1,1.27,1.59140236,26.64721065,19,0.476662572,14.29816965,155.4587851,87,14.33912048,0.161792023
18,407,13.6,1,1.27,0.989217491,24.41014445,19,0.332018681,13.76045011,149.0393814,87,15.08001641,0.151589217
18,408,13.6,1,1.27,1.016796845,25.19700626,19,0.34276114,14.15792236,148.2289939,90,15.18032621,0.144818658
18,409,13.6,1,1.27,1.040482893,25.91662164,19,0.360561569,15.06238605,147.7885244,95,15.14242871,0.137635983
18,410,13.6,1,1.27,1.063066918,23.42426766,19,0.366069629,13.47004207,145.2157605,85,15.04201379,0.144366472
18,411,13.6,1,1.27,1.050304698,24.14466387,19,0.379747326,13.79501163,148.3921596,86,15.05949884,0.150365819
18,412,13.6,1,1.27,1.109690562,26.29579292,19,0.358627886,14.32201918,153.3855827,89,15.09361429,0.156329281
18,413,13.6,1,1.27,1.046712481,25.74077791,19,0.352176314,14.62132352,151.3532167,90,15.14473696,0.150730494
18,414,13.6,1,1.27,1.025876019,25.51209422,19,0.346255277,14.38708776,149.9690091,90,15.15337908,0.148165094
18,415,13.6,1,1.27,1.005928474,25.76788594,19,0.329336906,13.58744699,152.8766342,86,15.11409652,0.159591703
19,416,19.4,2,2.51,0.926818701,21.79687927,17,0.356736754,14.28304648,156.885523,77,15.00164826,0.184728441
19,417,19.4,2,2.51,0.799875947,19.90221813,17,0.311967265,12.66110252,149.3391661,73,15.10088982,0.173165196
19,418,19.4,2,2.51,0.7823793,19.57178653,17,0.317031217,12.7038021,148.7902384,73,15.11888738,0.172346111
19,419,19.4,2,2.51,0.918880783,22.91781978,18,0.321621785,13.1502687,150.7627152,80,15.07827949,0.164866087
19,420,19.4,2,2.51,0.898362932,22.47752944,18,0.322064198,13.26748063,151.7302097,79,15.07280825,0.169145668
19,421,19.4,2,2.51,0.793090204,19.71077625,17,0.326873465,12.95198551,144.8659319,76,14.99793485,0.158041371
19,422,19.4,2,2.51,0.915463058,22.05889207,17,0.382447185,15.26592395,154.0856784,81,15.11727853,0.170047371
19,423,19.4,2,2.51,0.886945866,21.70824557,17,0.367383765,14.63347065,153.6492148,79,15.12414,0.172538145
19,424,19.4,2,2.51,0.889255997,21.78767103,17,0.359472661,14.1457025,150.8523796,80,15.14886886,0.165078189
19,425,19.4,2,2.51,1.072481587,26.83958192,18,0.393790359,16.51424788,158.7376834,91,15.15616844,0.162660097
19,426,19.4,2,2.51,1.11073297,25.58730751,18,0.407360731,16.05483979,153.8251156,91,15.01219565,0.153360603
20,427,18.6,2,2.77,0.974345693,23.13515702,18,0.342642239,13.60275552,149.9700056,83,15.02764444,0.159655881
20,428,18.6,2,2.77,1.128894731,26.65712777,19,0.371420203,15.34780184,152.948282,94,15.13966496,0.149615195
20,429,18.6,2,2.77,1.167044601,28.37732976,19,0.36525404,15.05847847,153.693758,97,15.11267487,0.146966143
20,430,18.6,2,2.77,1.250361021,28.73763809,19,0.419546908,16.47613523,155.2169962,100,15.03102881,0.144925814
20,431,18.6,2,2.77,1.153492155,26.46207252,19,0.382447014,14.86762312,151.0950454,93,15.04788355,0.146453542
20,432,18.6,2,2.77,1.019125444,23.94632661,18,0.383078755,15.12812315,152.0535914,87,15.06881751,0.157251407
20,433,18.6,2,2.77,0.962596442,23.30187353,18,0.361373283,14.59127864,150.4654616,86,15.05026624,0.1566433
20,434,18.6,2,2.77,0.89355557,21.84060614,18,0.334222666,13.5445108,145.957968,83,15.07608052,0.151752961
20,435,18.6,2,2.77,0.911578013,22.07919328,17,0.354370807,14.21938704,147.584383,84,15.0678955,0.153326623
20,436,18.6,2,2.77,0.962919746,22.85809888,17,0.365260728,14.59735496,149.6299426,85,15.04157843,0.155537148
14,437,0.0,1,2.07,1.403742978,27.77487734,18,0.795243419,18.634293,138.6828563,116,13.11459377,0.095530052
14,440,0.0,1,2.07,1.511491815,30.75959506,19,0.778530179,17.70219348,143.8972218,117,13.9629333,0.102492272
14,441,0.0,1,2.07,1.616524258,31.92949474,19,0.704238091,18.30852166,148.4739716,117,14.08672504,0.108782537
14,443,0.0,1,2.07,1.130909466,27.36556859,18,0.70500706,17.82418569,135.3556282,116,13.08120743,0.091046572
14,444,0.0,1,2.07,1.564841107,31.43026499,19,0.736978513,18.08504572,146.9095783,117,14.0754871,0.106971505
16,451,0.0,1,2.66,0.794431118,24.24944797,19,0.399941366,14.43176121,115.7389987,118,13.26806789,0.065282697
16,452,0.0,1,2.66,0.969265625,21.63662163,18,0.554174346,13.11858888,124.6813815,96,12.90807889,0.095188296
16,453,0.0,1,2.66,1.074432416,23.7578879,20,0.505520203,12.18197421,127.1084582,97,13.57508341,0.098129247
16,454,0.0,1,2.66,1.646734053,30.08084034,19,0.703493481,16.88667646,146.6281091,110,13.99975839,0.114352938
16,455,0.0,1,2.66,1.139855934,23.88031694,19,0.525687505,12.89829419,127.5383251,99,13.64804026,0.096613604
16,456,0.0,1,2.66,1.094828195,24.02313156,20,0.536202124,12.46105365,128.7620177,97,13.48085166,0.10060079
17,457,0.0,1,1.59,1.193118934,29.68936435,19,0.965026242,17.52320332,132.685806,123,12.95931481,0.079379334
17,458,0.0,1,1.59,1.584556704,28.22623714,19,0.92420925,16.90410423,139.3192961,110,12.53816181,0.100982427
17,459,0.0,1,1.59,1.279581995,28.08881727,20,0.711149731,14.09628264,131.5745775,110,12.95464084,0.090919008
17,460,0.0,1,1.59,1.580224471,29.818729,20,0.856354349,15.33954311,136.0941885,114,13.10571944,0.093125975
17,461,0.0,1,1.59,1.292882429,29.35844115,20,0.74849914,15.08321526,130.3145528,118,13.13228622,0.081640485
17,462,0.0,1,1.59,1.570111162,28.88343034,20,0.795432096,15.29215544,135.2559391,111,13.05303652,0.093934801
18,463,0.0,1,1.27,1.171015901,30.12148361,19,0.871459398,17.75694205,131.5207071,127,13.12992664,0.075053788
18,464,0.0,1,1.27,1.475372527,28.06475503,19,0.806238706,16.38187904,138.1099729,110,12.77252975,0.100033073
18,465,0.0,1,1.27,1.773571804,30.9589466,20,0.729234434,16.30675591,145.0359136,112,13.86778046,0.109247619
18,466,0.0,1,1.27,1.714691619,30.44012995,20,0.744329267,15.61336454,142.3948701,111,13.67738596,0.106203818
18,467,0.0,1,1.27,1.53827338,29.81984739,19,0.742368259,16.81589673,139.1293447,116,13.77974099,0.096092581
18,468,0.0,1,1.27,1.878444506,30.90636112,20,0.750063726,16.8448634,146.2216199,112,13.80485698,0.110792402
19,469,0.0,2,2.51,0.741988291,25.8452014,19,0.523750282,15.72786051,120.8545918,119,12.56526555,0.068600685
19,470,0.0,2,2.51,1.790290785,25.92343844,19,1.038129314,15.50360789,139.9026626,100,12.13594259,0.113892683
19,471,0.0,2,2.51,1.444442587,27.20306444,19,0.678412816,14.77925119,132.2107781,108,13.12275995,0.092904003
19,472,0.0,2,2.51,1.471969794,27.38832033,19,0.491663689,14.74238397,138.1796091,103,14.35906911,0.107393265
19,473,0.0,2,2.51,1.079259766,25.30297769,19,0.663489246,13.63303064,129.3668288,102,12.84421184,0.094832363
20,474,0.0,2,2.77,0.760217814,29.5473711,19,0.830914299,18.11066826,125.9286312,133,12.50150067,0.064002388
20,476,0.0,2,2.77,1.33281193,30.09606955,20,0.888219066,16.03183028,132.9404695,120,12.96195863,0.082934624
20,477,0.0,2,2.77,1.507369566,30.12277449,20,0.92510112,16.42736037,136.4569515,117,13.00572529,0.089913746
20,478,0.0,2,2.77,0.58222252,24.44445172,19,0.421931466,13.28054817,117.799147,111,12.42488099,0.07194809
20,479,0.0,2,2.77,0.727646137,25.47480545,19,0.521914623,13.80885718,123.4746492,109,12.4393705,0.080176498
14,480,77.01,1,2.05,0.786887359,18.60202498,17,0.371627925,13.96582904,110.0531928,104,14.35761471,0.068051454
14,481,77.01,1,2.05,1.043295086,22.05434938,16,0.535278523,18.11234057,130.5761918,107,14.74588728,0.093438917
14,482,77.01,1,2.05,0.703155113,17.00385613,17,0.340413442,11.2888535,113.4495775,86,14.11889879,0.086383293
14,483,77.01,1,2.05,0.805288006,18.11860243,17,0.375943893,12.14681079,118.0662468,88,14.37768858,0.091701514
14,484,77.01,1,2.05,0.748745182,17.10978117,17,0.338988333,11.45139348,115.6459463,85,14.25908234,0.09070847
14,485,77.01,1,2.05,0.865775036,18.64743515,17,0.379505095,12.34157658,119.9202607,89,14.29137062,0.094128756
16,494,65.56,1,2.66,0.312120576,10.85704254,20,0.12995516,4.894029797,94.66230867,58,13.64550284,0.078448069
16,495,65.56,1,2.66,0.746220324,16.10176349,18,0.321074135,9.199675428,125.5523956,68,14.47158852,0.126554669
16,496,65.56,1,2.66,0.370121863,11.44865014,20,0.15167536,5.699832635,96.38585058,61,13.82241934,0.078378032
16,497,65.56,1,2.66,0.486188823,11.76594074,19,0.203559601,5.924746236,110.419603,53,14.12579995,0.1101125
17,498,51.52,1,1.59,0.557993007,17.15119355,17,0.264620367,12.23927614,93.47620376,113,13.71769612,0.04483198
17,499,51.52,1,1.59,0.785475461,20.35689665,17,0.416580606,14.02944803,113.2690305,105,13.98149676,0.07039618
17,501,51.52,1,1.59,0.775995703,18.65711055,19,0.338456186,10.39153287,113.944595,86,14.04346022,0.085977996
17,502,51.52,1,1.59,0.740744608,18.76377545,19,0.324103296,10.26198506,112.544304,88,13.99333461,0.082922938
18,503,60.16,1,1.27,0.582259534,17.98303495,17,0.293398926,13.0357014,95.5516183,116,13.62513022,0.045042025
18,504,60.16,1,1.27,0.814612656,20.37877438,17,0.479853115,15.07474824,116.333526,105,13.82143603,0.074037165
18,505,60.16,1,1.27,0.622500163,17.16195087,18,0.31514843,10.40346326,106.3137755,89,13.74254047,0.072911909
18,506,60.16,1,1.27,0.69258214,17.42621649,18,0.325177574,10.46604214,108.3737046,88,13.76524514,0.07647353
18,507,60.16,1,1.27,1.131384152,22.28162828,18,0.525802182,14.03403831,127.8647959,96,14.24913269,0.098370654
18,508,60.16,1,1.27,0.677667634,17.48819832,18,0.314367553,10.5612407,109.1168088,88,13.81598479,0.077658647
19,509,21.1,2,2.51,0.693843624,19.80666799,17,0.348537076,13.91269227,100.467614,121,13.66991441,0.047909096
19,510,21.1,2,2.51,1.028983572,23.28769899,17,0.518302534,16.11057854,123.5454401,111,13.96572702,0.079675247
19,511,21.1,2,2.51,0.755594725,19.36869869,19,0.328219773,11.21521562,108.8990553,98,13.76626211,0.070987888
19,512,21.1,2,2.51,0.940889142,20.8550091,19,0.398000688,12.16171935,117.6274115,97,13.95139824,0.083605802
19,513,21.1,2,2.51,0.973658092,21.79939771,18,0.430196365,13.08682156,119.6439134,101,14.00555487,0.083108606
19,514,21.1,2,2.51,0.990421419,22.40982423,19,0.443049058,13.15192756,121.3300582,101,14.06717126,0.085166733
20,515,50.91,2,2.77,0.475094026,16.95216496,17,0.210210338,12.16473347,87.62143256,121,13.25573079,0.036285531
20,516,50.91,2,2.77,0.731634892,21.3395304,17,0.464948896,14.43157088,113.2388471,109,13.63733641,0.067046412
20,518,50.91,2,2.77,0.510630913,17.21584088,19,0.248678561,9.293247787,105.2289142,87,13.48174525,0.073532287
20,519,50.91,2,2.77,0.740631223,19.96221763,19,0.360772946,10.9383041,111.8339246,95,13.73643493,0.076504037
20,520,50.91,2,2.77,0.434840547,15.78791764,19,0.204574149,8.59573978,101.0637556,83,13.26754787,0.07008587
20,521,50.91,2,2.77,0.818480815,19.63608682,19,0.396144405,10.83938477,116.8909837,89,13.76730413,0.088920967
14,522,61.42,1,2.07,1.041917205,22.17984426,16,0.643982884,17.66658165,116.4559152,117,14.03725143,0.063723314
14,523,61.42,1,2.07,1.612643925,25.58864857,16,0.752495968,19.7527782,140.1772561,108,14.3509491,0.10220194
14,524,61.42,1,2.07,1.399946587,24.19765164,18,0.62665543,16.12290004,132.0726642,102,14.24012235,0.096995331
14,525,61.42,1,2.07,1.528194973,24.76643977,18,0.648200626,16.54405807,131.2432039,105,14.32050134,0.092175588
14,526,61.42,1,2.07,1.604541575,26.42970731,17,0.655741577,18.42930038,135.4620735,111,14.32078474,0.0921735
14,527,61.42,1,2.07,1.422930809,23.34802136,17,0.640419029,16.36100661,128.4497967,103,14.34118223,0.089959405
16,534,60.57,1,2.66,0.505502841,12.90055755,17,0.24906988,8.446342532,97.28310348,76,14.11256642,0.069231844
16,535,60.57,1,2.66,0.647659004,14.29426183,17,0.346666588,10.11391919,116.4238879,71,14.33885958,0.104216973
16,536,60.57,1,2.66,0.631129204,14.50409335,19,0.277351949,7.751549979,112.797732,67,14.26709337,0.102395864
16,537,60.57,1,2.66,0.632418953,14.35401568,19,0.278864363,7.742975923,113.1430963,66,14.27005708,0.103695492
16,538,60.57,1,2.66,0.653017782,15.5908895,19,0.315432112,8.549476901,115.0535116,71,14.28911021,0.102439282
16,539,60.57,1,2.66,0.506669975,12.99732459,20,0.211699562,6.529925583,104.3928173,63,14.04180118,0.09002064
17,540,45.07,1,1.59,0.571504895,17.38617609,17,0.291736337,12.43510136,95.93277663,110,13.6754601,0.048045019
17,541,45.07,1,1.59,0.996643734,22.1436843,17,0.553418387,14.40806579,122.5668447,102,14.01560061,0.085103377
17,542,45.07,1,1.59,0.476718632,16.8817495,19,0.228446703,9.617931322,96.07521524,96,13.55133778,0.055563474
17,543,45.07,1,1.59,0.948137742,20.6144911,19,0.430384845,11.68589997,116.1926419,94,14.06799287,0.08235174
17,544,45.07,1,1.59,0.942222802,20.57616293,19,0.432480239,12.07571972,113.7790179,98,14.11845066,0.076079301
17,545,45.07,1,1.59,0.48819848,16.85332332,18,0.236182269,9.83849339,96.34146781,96,13.5887522,0.05558585
18,546,55.97,1,1.27,0.893754846,19.82821721,17,0.410834511,13.62089464,112.7204241,102,14.1501045,0.071547419
18,547,55.97,1,1.27,1.065423098,22.9796566,17,0.57001992,15.65407246,132.0884675,100,14.42554625,0.10189436
18,548,55.97,1,1.27,0.980665609,20.82452394,19,0.429030873,11.94353283,121.0031091,92,14.17759783,0.092133491
18,549,55.97,1,1.27,0.942697834,20.30746939,19,0.417152511,11.97888641,116.4660196,95,14.05809192,0.082904872
18,550,55.97,1,1.27,1.091191447,21.45926058,19,0.467505559,12.43961414,121.759646,95,14.18831229,0.09074293
19,551,4.44,2,2.51,1.057110784,22.61322892,19,0.545115991,13.82060593,119.8338249,104,13.74394435,0.079425237
19,552,4.44,2,2.51,1.908918464,29.06283469,18,0.690371871,17.89257058,157.9110132,100,13.98093162,0.146645473
19,553,4.44,2,2.51,1.22878233,23.74411968,20,0.50720195,12.1773829,130.5284399,93,13.93013072,0.106806429
19,554,4.44,2,2.51,1.033953826,22.64047126,20,0.481047983,11.61046769,124.218471,93,13.73599116,0.095951698
19,555,4.44,2,2.51,1.343822452,24.63422908,19,0.5298217,13.02280403,134.4518893,94,14.05447171,0.111597972
19,556,4.44,2,2.51,1.393413589,25.37844099,19,0.493921895,13.47603886,137.8260922,94,14.24464755,0.116816864
19,557,4.44,2,2.51,1.073735901,22.76850904,20,0.503188714,11.86731925,125.1302415,94,13.78298589,0.097021556
20,558,42.7,2,2.77,0.459827308,17.72195613,17,0.19742543,12.46497248,88.83266901,123,13.10757508,0.036202499
20,559,42.7,2,2.77,0.980350196,22.11537336,17,0.533668516,14.80145189,120.5644631,106,14.24719017,0.079611266
20,560,42.7,2,2.77,0.51619337,19.07946801,19,0.265026712,11.36384238,101.649992,105,13.35193474,0.057100713
20,561,42.7,2,2.77,0.783571622,21.16613145,19,0.407419772,12.46474089,111.6801459,104,13.61481813,0.069251825
20,562,42.7,2,2.77,0.877278397,21.95747014,19,0.452397862,12.98579105,114.6621293,105,13.7666251,0.072187362
20,563,42.7,2,2.77,0.643622865,20.07565497,19,0.337098753,12.02999784,105.0380461,107,13.53509809,0.059724779
20,564,42.7,2,2.77,0.595696021,19.70568371,19,0.293878489,11.90060295,102.1440131,109,13.49670974,0.055448397
14,566,33.5,1,2.05,1.438612738,21.62282334,16,0.734240338,15.72812302,137.1435547,91,13.73570349,0.118813151
14,567,33.5,1,2.05,1.155272656,21.92139652,17,0.660438601,14.46651916,120.4296875,101,13.68194679,0.08071474
14,568,33.5,1,2.05,1.334305447,23.42296633,18,0.712360686,15.70529981,123.993463,105,13.82700731,0.08141763
14,569,33.5,1,2.05,1.114417614,22.17825201,17,0.690990023,15.16945031,117.7638911,107,13.76782095,0.072483641
16,580,37.0,1,2.66,0.379633713,13.90942878,20,0.177786148,6.793211482,97.49137038,72,13.26790909,0.071934233
16,581,37.0,1,2.66,0.426330259,13.94089747,19,0.207517565,7.099395461,99.17546237,72,13.33874587,0.074507293
16,582,37.0,1,2.66,0.418601754,13.57554558,20,0.188435208,6.828952571,98.50544085,70,13.34276661,0.074704564
16,583,37.0,1,2.66,0.343333452,13.41992946,20,0.158356241,6.660360739,95.54729353,71,13.23616069,0.069425253
17,584,23.77,1,1.59,0.497515669,15.76411101,17,0.252752637,11.25490977,97.0866749,97,13.48877533,0.055851567
17,585,23.77,1,1.59,0.919973414,18.63121043,17,0.475179741,12.11403697,128.3560866,82,13.94527218,0.116303234
17,586,23.77,1,1.59,0.713313738,19.05491461,18,0.342936899,11.28142285,107.9251036,97,13.82784538,0.069542554
17,587,23.77,1,1.59,1.029169461,21.5063187,19,0.465961239,12.41451002,120.1417012,96,14.01867291,0.086925631
17,588,23.77,1,1.59,0.909671549,21.11616746,19,0.432566352,12.43795822,115.1051499,100,14.01784276,0.076627585
17,589,23.77,1,1.59,0.784139447,19.88188845,19,0.362496229,11.74568834,109.3288425,99,13.90260917,0.069293635
18,590,26.02,1,1.27,0.365163994,16.99349265,17,0.170807222,11.62484796,96.77387596,103,12.76459053,0.052002987
18,591,26.02,1,1.27,1.110734423,19.65555058,17,0.671119918,12.7262635,128.425582,85,13.26084077,0.111429414
18,592,26.02,1,1.27,0.481988281,19.45142124,19,0.279362614,11.3107034,107.435806,98,13.01437455,0.067567344
18,593,26.02,1,1.27,0.850184821,22.40910242,19,0.528447124,13.47122183,116.2437022,105,13.4618485,0.073143191
18,594,26.02,1,1.27,0.745223599,21.36543447,19,0.450703585,12.90343231,112.4414262,104,13.41285247,0.069215738
18,595,26.02,1,1.27,0.928379312,22.83595696,19,0.545609817,13.69563828,117.6676499,105,13.54305175,0.074523977
18,596,26.02,1,1.27,0.931934987,21.86237318,18,0.541464156,13.28714967,117.1219308,102,13.63048066,0.076841883
19,597,1.66,2,2.51,0.715128032,19.11360286,18,0.370450382,11.59066026,112.3361169,93,13.39559369,0.077849107
19,598,1.66,2,2.51,1.761454206,24.15198892,18,0.67636426,14.33086576,153.1445512,84,13.73972178,0.163249666
19,599,1.66,2,2.51,0.875202107,20.7579812,20,0.420264069,10.60771012,119.6488361,88,13.47900394,0.093163315
19,600,1.66,2,2.51,1.032859335,22.08913466,20,0.505321586,11.52679018,123.4975686,92,13.73495073,0.095977719
19,601,1.66,2,2.51,1.28686145,23.05995379,19,0.540014538,12.30295985,129.8692801,91,13.80314168,0.106694781
19,602,1.66,2,2.51,1.240855159,22.5617878,19,0.543562953,11.86035666,129.3989955,89,13.74430161,0.108392881
20,603,25.73,2,2.77,0.481370368,16.50946982,17,0.249958247,12.02339044,94.15473533,107,13.36586265,0.047598896
20,604,25.73,2,2.77,0.818642706,18.68718301,17,0.425138302,12.17474182,121.1790099,88,13.69865897,0.097574952
20,605,25.73,2,2.77,0.468070223,17.33688077,18,0.230711566,10.2608284,97.63075973,100,13.22809957,0.055946242
20,606,25.73,2,2.77,0.669911274,19.46548328,18,0.326615253,11.9345268,105.2579919,104,13.58342671,0.061701097
20,607,25.73,2,2.77,0.670183594,19.69481847,18,0.321534187,12.02677761,104.6881776,106,13.61866399,0.059895304
20,608,25.73,2,2.77,0.602921013,18.59104558,18,0.27902716,11.33241463,101.6793686,103,13.48521105,0.058259415
20,609,25.73,2,2.77,0.725607744,20.19032112,18,0.353194518,12.36081867,108.204839,105,13.67117346,0.064779382
20,610,25.73,2,2.77,0.675490662,19.57894267,18,0.327153543,11.97558652,104.5998884,106,13.62888667,0.060100944
14,611,0.18,1,2.07,1.490099714,24.13223918,17,0.734668389,16.5819024,133.5915976,101,13.86688514,0.099529386
14,612,0.18,1,2.07,1.831745948,29.33388005,17,0.595230713,19.44268223,170.4366032,96,14.25687893,0.180032297
14,613,0.18,1,2.07,1.5278816,27.99086248,19,0.579312773,16.79780882,137.2434829,110,14.36670549,0.0968395
14,614,0.18,1,2.07,1.655720927,29.92946647,19,0.588150054,17.85492835,143.1385124,113,14.47028036,0.102607813
14,615,0.18,1,2.07,1.603296273,30.0722862,19,0.601551722,17.90342195,142.426997,114,14.46265551,0.100235497
14,616,0.18,1,2.07,1.614252541,28.14840849,19,0.588252339,16.74044879,140.4872848,107,14.28055115,0.104682297
16,625,1.65,1,2.66,1.0810561,18.56155667,18,0.479758809,11.49622886,121.3474171,82,13.5995005,0.100461532
16,626,1.65,1,2.66,1.509762452,22.55768969,17,0.522905418,13.89972073,157.4114716,76,13.91239872,0.185356595
16,627,1.65,1,2.66,1.212592589,20.89656384,20,0.476730705,10.97189318,125.0807956,84,13.80571443,0.105026955
16,628,1.65,1,2.66,1.388369029,23.21182834,19,0.473292786,12.02224715,137.5131138,84,14.11035166,0.127888805
16,629,1.65,1,2.66,1.414837395,24.48644219,19,0.452233744,12.81749507,140.7334184,87,14.21824278,0.130079688
17,630,1.41,1,1.59,1.143840678,21.86762219,18,0.567066178,13.27638196,124.0954241,96,13.75736607,0.092681522
17,631,1.41,1,1.59,1.736668191,28.08541165,18,0.591598708,16.39160322,161.8573621,93,14.15989714,0.16873128
17,632,1.41,1,1.59,1.141540938,24.25940903,20,0.475916743,12.4666832,127.6969069,97,14.03677814,0.09727617
17,633,1.41,1,1.59,1.417835607,26.4256917,20,0.492717596,13.62479018,138.5627392,97,14.20969431,0.115055078
17,634,1.41,1,1.59,1.472794541,27.73394593,20,0.485766416,14.40629339,139.6425183,102,14.35095321,0.111273334
18,635,1.67,1,1.27,1.548608273,23.66308623,18,0.729947747,14.38375446,129.4834782,98,13.19842727,0.09742076
18,636,1.67,1,1.27,2.048801701,29.99251663,19,0.610530216,17.00720845,163.0525151,97,13.69556112,0.162943281
18,637,1.67,1,1.27,1.618918073,26.76906473,20,0.577152179,13.50354639,134.6222696,101,13.79904295,0.104085927
18,638,1.67,1,1.27,1.840325064,29.18058907,20,0.575839046,14.59833411,146.3429129,100,13.84383065,0.124301124
18,639,1.67,1,1.27,1.896981035,29.11786157,20,0.56925663,15.03592066,144.490354,102,13.93482252,0.117848297
19,640,1.33,2,2.51,0.589973636,17.97772774,18,0.335056023,11.31714121,109.5159239,91,13.11777666,0.075272571
19,641,1.33,2,2.51,1.757767961,22.04853816,17,0.669107544,13.73264269,149.5715681,81,13.59179952,0.161704905
19,642,1.33,2,2.51,1.175168621,22.39131928,20,0.527354451,11.70480599,127.1780533,90,13.78384542,0.10370062
19,643,1.33,2,2.51,1.286393291,23.26485128,19,0.530801476,12.41085386,130.9233099,91,14.03246053,0.108465501
19,644,1.33,2,2.51,1.201873959,22.73771694,19,0.534775714,12.08806728,126.9659798,92,13.86521386,0.100950889
20,645,3.96,2,2.77,0.787470759,21.87084365,18,0.508340609,13.98253505,115.1444117,106,13.27227276,0.070815264
20,646,3.96,2,2.77,1.916654067,25.86264168,18,0.776726003,16.43697808,150.8484534,96,13.65400946,0.141818644
20,647,3.96,2,2.77,1.054965843,24.00601481,19,0.480598563,13.45026906,119.8077567,107,13.68932396,0.076868483
20,648,3.96,2,2.77,1.459931723,26.92066392,19,0.571430483,14.92037362,133.7918527,107,13.99326182,0.097125601
20,649,3.96,2,2.77,1.28452652,26.31277996,19,0.536754568,14.70535823,126.5738999,111,13.85049319,0.082422522
20,650,3.96,2,2.77,1.283760663,25.96406868,19,0.537470263,14.56367283,126.4819037,110,13.85750138,0.083536877
14,651,2.19,1,2.05,1.895623367,28.46659636,17,0.748837767,19.71552898,145.2138672,110,14.03822307,0.106585635
14,652,2.19,1,2.05,2.228292193,36.01419588,18,0.673919369,23.67930544,174.2719428,114,14.2445666,0.150068048
14,653,2.19,1,2.05,1.810932543,29.19035665,19,0.642756887,17.02459969,150.7706473,102,14.07060102,0.128256186
14,654,2.19,1,2.05,1.919704266,31.75081145,19,0.66757971,18.58117727,155.8513433,107,14.10130663,0.128703085
14,655,2.19,1,2.05,1.836314111,31.18537504,19,0.634453515,18.11083575,154.1734295,106,14.18150896,0.127467904
14,656,2.19,1,2.05,1.749280527,27.55228589,19,0.633881921,15.99405586,144.769332,100,14.03184357,0.120343109
16,663,10.69,1,2.66,1.117289908,21.93476569,17,0.654570981,14.41735009,122.6851483,99,13.64574321,0.085888593
16,664,10.69,1,2.66,1.859104707,28.46741545,18,0.580295246,17.99040194,162.8016781,94,14.05927315,0.163864465
16,665,10.69,1,2.66,0.928458485,19.86248338,18,0.503932439,12.26036226,115.5232581,93,13.36400716,0.081125069
16,666,10.69,1,2.66,1.41658713,22.62490922,20,0.538359163,11.75981483,132.5095265,86,13.73047063,0.116783879
16,667,10.69,1,2.66,1.34235007,22.81818932,20,0.55483787,11.82012019,129.4850128,88,13.72963053,0.107999466
16,668,10.69,1,2.66,1.363790641,22.6526213,19,0.547486279,12.00729923,129.470743,89,13.80163898,0.107826758
17,669,3.65,1,1.59,1.371298479,27.42727936,18,0.679435854,17.5164572,128.3915617,119,13.85922053,0.075939263
17,670,3.65,1,1.59,2.119804644,34.53581493,19,0.639465477,20.43353273,170.597437,109,14.14990922,0.156443691
17,671,3.65,1,1.59,1.514823992,25.97675771,19,0.555411448,13.68865325,135.0893654,98,13.77764279,0.107043597
17,672,3.65,1,1.59,1.749316077,28.87298181,19,0.600083026,15.64195725,145.0239158,103,14.10923889,0.118025643
17,673,3.65,1,1.59,1.792384796,29.19380586,19,0.577966007,15.8266088,145.2864517,104,14.14487528,0.11709188
18,674,4.31,1,1.27,1.303391836,27.18505926,19,0.717233708,17.26040785,123.5799386,123,13.56409213,0.067107486
18,676,4.31,1,1.27,1.262079206,24.83735872,20,0.553409246,12.4386007,126.6671915,98,13.40511313,0.09324736
18,677,4.31,1,1.27,1.785612753,27.76939813,20,0.570024429,14.11766852,139.505401,100,13.69551742,0.111759659
18,678,4.31,1,1.27,1.821255436,28.98713501,20,0.575724307,15.32938746,143.4311224,103,13.95579012,0.114400193
19,679,2.77,2,2.51,1.133405419,22.34122716,17,0.643194735,14.88535352,122.4038783,102,13.90444908,0.082891608
19,680,2.77,2,2.51,1.937877722,28.07553174,18,0.640877204,18.09107068,153.4121891,100,14.13913825,0.135846064
19,681,2.77,2,2.51,1.098640744,21.0016409,19,0.496871593,11.2321095,124.6907685,86,13.77324768,0.102892648
19,682,2.77,2,2.51,1.16195022,21.73736357,19,0.524150145,11.72771255,124.0460379,90,13.8611613,0.09765902
19,683,2.77,2,2.51,1.407033613,23.43287597,19,0.553623473,12.94286534,132.0981545,92,14.04045576,0.109269896
20,684,5.18,2,2.77,1.484806482,26.37365468,18,0.667796262,16.99673201,128.7547632,114,14.07194191,0.080858585
20,685,5.18,2,2.77,1.904273524,31.77044915,18,0.668269714,20.3011328,155.1537388,113,14.38789545,0.120794802
