feature,loading_PC1,loading_PC2,contribution_PC1,contribution_PC2,expected,PC1_influential,PC2_influential,PCA_pass,vw_score
lab_L,0.23821829611403492,-0.009574530493653869,0.056747956603474085,9.1671634173908e-05,0.03225806451612903,True,False,True,0.03198209008790926
luv_L,0.23821829611403492,-0.009574530493653869,0.056747956603474085,9.1671634173908e-05,0.03225806451612903,True,False,True,0.03198209008790926
mean_gray,0.23806423445727895,-0.014220416153089985,0.056674579727730344,0.00020222023556706303,0.03225806451612903,True,False,True,0.03196276615428429
median_gray,0.23762262603055784,-0.02456604336712262,0.0564645124016584,0.0006034904867153506,0.03225806451612903,True,False,True,0.031924322366428
mean_g,0.23782147159232883,-0.010415500606653647,0.05655905235034093,0.00010848265288720273,0.03225806451612903,True,False,True,0.031879034398097104
median_g,0.2374803503730543,-0.020589618441566704,0.05639691681330869,0.00042393238756930463,0.03225806451612903,True,False,True,0.031850504835405635
mean_v,0.23745508607958393,0.019048517582481973,0.05638491790506268,0.0003628460220901257,0.03225806451612903,True,False,True,0.0318315862022416
mean_r,0.23745457252187122,0.019059859825287136,0.05638467401154466,0.0003632782565595954,0.03225806451612903,True,False,True,0.03183153486939897
median_r,0.23744467340905126,0.0038157818042376807,0.056379972930331076,1.4560190777551401e-05,0.03225806451612903,True,False,True,0.03175946952946428
median_v,0.23744467340905126,0.0038157818042376807,0.056379972930331076,1.4560190777551401e-05,0.03225806451612903,True,False,True,0.03175946952946428
xyz_X,0.23729749031673406,-0.012227427386342776,0.056310098910620554,0.00014950998048828565,0.03225806451612903,True,False,True,0.03174697602568621
xyz_Y,0.2372050863574184,-0.008193769339479583,0.05626625299383039,6.713785598859583e-05,0.03225806451612903,True,False,True,0.031705882013163524
luv_v,0.17420812965013244,0.2597421700112269,0.03034847243619739,0.06746599488214125,0.03225806451612903,False,True,True,0.030524162790667074
xyz_Z,0.20665457825738237,-0.1719659423843284,0.04270611471473662,0.029572285340130226,0.03225806451612903,True,False,True,0.0299414308587043
median_b,0.20104039210715235,-0.18839991359845298,0.04041723925859761,0.035494527443904626,0.03225806451612903,True,True,True,0.029831107920795345
mean_b,0.19786197951655699,-0.19689624065987849,0.03914936293821046,0.03876812958599287,0.03225806451612903,True,True,True,0.02976862236976876
lab_b,0.1455975772659266,0.29544431113314423,0.021198654505707487,0.08728734098093832,0.03225806451612903,False,True,True,0.029316165995132842
SI,0.17356123457666153,0.2317560658355524,0.030123502147774966,0.05371087405157301,0.03225806451612903,False,True,True,0.0276592889351302
entropy,0.131971037025689,-0.2539773368921805,0.017416354613635797,0.06450448765484429,0.03225806451612903,False,True,True,0.022650489812592878
median_s,0.00044278470950766003,0.33165377476202745,1.9605829897378308e-07,0.10999422631390189,0.03225806451612903,False,True,True,0.02189606321237291
contrast,0.11485596869337658,-0.2624899452128638,0.013191893544493915,0.06890097133785239,0.03225806451612903,False,True,True,0.021146204913561485
energy,-0.1311842464917593,0.23386177095762847,0.017209306527610685,0.054691327915438404,0.03225806451612903,False,True,True,0.02058041558149745
homogeneity,-0.13528751165777345,0.1939361531905442,0.01830271081055221,0.03761123151434631,0.03225806451612903,False,True,True,0.01779624428152031
HI,-0.08452014097568009,-0.25753613708467604,0.007143654230548844,0.0663248619044972,0.03225806451612903,False,True,True,0.017226662869279055
mean_h,0.10017208828570717,0.23576525343429328,0.010034447271519522,0.055585254726936664,0.03225806451612903,False,True,True,0.016717055091784644
median_h,0.10019121741139031,0.22677426285218685,0.010038280046376491,0.051426566292152844,0.03225806451612903,False,True,True,0.015891366436714342
CI,0.07344262615225952,0.25400642613733165,0.00539381933614056,0.06451926451905986,0.03225806451612903,False,True,True,0.015881620795234617
luv_u,0.12483164981523219,0.18630909308127866,0.015582940795592776,0.03471107816476863,0.03225806451612903,False,True,True,0.015686989458968185
mean_s,0.019476812926177926,0.266936780561603,0.00037934624176133195,0.07125524481659357,0.03225806451612903,False,True,True,0.014398064772385354
lab_a,-0.06053515423266458,-0.06924495985068387,0.0036645048979724927,0.004794864464722831,0.03225806451612903,False,False,False,0.003018555827651735
RI,-0.0015282154837777222,-0.029801116798476787,2.33544256485798e-06,0.0008881065624364573,0.03225806451612903,False,False,False,0.00017810600712177176
