Acquisition_Setting,N_Images,N_Physical_Soils,Mean_Observed_SOC,Mean_Predicted_SOC,R2,RMSE,MAE,RPD,RPIQ,Bias
Field,34,4,2.5820588235294117,2.087887173529412,-0.2786192770471363,1.1016538452687796,0.7840021735294117,0.8976599821749541,0.6807946100501435,-0.49417164999999996
Laboratory,107,4,3.0347663551401864,2.0441991672897193,-0.21544734745000316,2.1484369575134923,1.2438905093457944,0.9113199572693584,0.34909099723736714,-0.9905671878504673
