Acquisition_Setting,N_Physical_Soils,Mean_Soil_MAE,SD_Soil_MAE,Mean_Soil_RMSE,Mean_Soil_Bias
Field,4,1.3122335367647058,1.2770062042999317,1.322913877126301,-1.0882735867647058
Laboratory,4,1.4042585828859244,2.109187240244992,1.4482556178818036,-1.2121233648303689
