Acquisition_Setting,N_Images,N_Physical_Soils,R2,RMSE,MAE,RPD,RPIQ,Bias,R2_CI_Lower,R2_CI_Upper,RMSE_CI_Lower,RMSE_CI_Upper,MAE_CI_Lower,MAE_CI_Upper,RPD_CI_Lower,RPD_CI_Upper,RPIQ_CI_Lower,RPIQ_CI_Upper,Bias_CI_Lower,Bias_CI_Upper
Field,34,4,-0.2786192770471363,1.1016538452687796,0.7840021735294117,0.8976599821749541,0.6807946100501435,-0.49417164999999996,-8.006375923861208,-0.037168571990862764,0.511627312121871,2.3781803422222207,0.4936739107142857,2.1388673999999996,0.33634417439020164,0.9999365873937961,0.17816970205690325,1.964897073257666,-2.1388673999999996,0.1458299527777778
Laboratory,107,4,-0.21544734745000316,2.1484369575134923,1.2438905093457944,0.9113199572693584,0.34909099723736714,-0.9905671878504673,-6.871637403002203,-0.06683922878108728,0.28581075730780714,3.986744734319502,0.2523380129032257,3.5953923571428565,0.35867318351723476,0.971942072688933,0.17050354627786166,1.8679294540717981,-3.593723583516483,0.1823996806451612
