Acquisition_Setting,Model_RMSE,Baseline_RMSE,Delta_RMSE_ModelMinusBaseline,Model_MAE,Baseline_MAE,Delta_MAE_ModelMinusBaseline
Field,1.1016538452687796,1.1205121109138483,-0.01885826564506865,0.7840021735294117,0.733745247148289,0.05025692638112267
Laboratory,2.1484369575134923,2.1931848532638423,-0.044747895750349986,1.2438905093457944,1.235303294126008,0.008587215219786337
