Acquisition_Setting,Metric,Estimate,CI_Lower,CI_Upper,Valid_Bootstrap_Replicates
Field,R2,-0.2786192770471363,-8.006375923861208,-0.037168571990862764,4934
Field,RMSE,1.1016538452687796,0.511627312121871,2.3781803422222207,5000
Field,MAE,0.7840021735294117,0.4936739107142857,2.1388673999999996,5000
Field,RPD,0.8976599821749541,0.33634417439020164,0.9999365873937961,4934
Field,RPIQ,0.6807946100501435,0.17816970205690325,1.964897073257666,3194
Field,Bias,-0.49417164999999996,-2.1388673999999996,0.1458299527777778,5000
Laboratory,R2,-0.21544734745000316,-6.871637403002203,-0.06683922878108728,4934
Laboratory,RMSE,2.1484369575134923,0.28581075730780714,3.986744734319502,5000
Laboratory,MAE,1.2438905093457944,0.2523380129032257,3.5953923571428565,5000
Laboratory,RPD,0.9113199572693584,0.35867318351723476,0.971942072688933,4934
Laboratory,RPIQ,0.34909099723736714,0.17050354627786166,1.8679294540717981,4445
Laboratory,Bias,-0.9905671878504673,-3.593723583516483,0.1823996806451612,5000
