Acquisition_Setting,N_Soil_Condition_Rows,N_Physical_Soils,R2,RMSE,MAE,RPD,RPIQ,Bias
Field,4,4,-0.6389708426814131,1.7161047431247887,1.3122335367647056,0.90195268249592,0.8900971844053261,-1.0882735867647058
Laboratory,4,4,-0.312446241007982,2.3004072409952228,1.3501524311182476,1.00792590350478,0.6640128638002196,-1.2121233648303689
