Sample_No,Acquisition_Setting,N_Images,Mean_Observed_SOC,Mean_Predicted_SOC,Soil_MAE,Soil_MSE,Soil_Bias,Soil_RMSE
3,Field,3,3.34,2.239424666666667,1.1005753333333332,1.2164368308746063,-1.1005753333333332,1.102921951397562
3,Laboratory,18,2.12,2.152222216666667,0.2200218055555555,0.0666728740443661,0.03222221666666653,0.2582109100025909
7,Field,3,5.34,2.1628405333333336,3.1771594666666663,10.095046649389793,-3.1771594666666663,3.1772703141831973
7,Laboratory,23,6.72,2.1606657217391305,4.559334278260869,20.81613462666336,-4.559334278260869,4.562470232961894
13,Field,17,2.5,1.9767205529411764,0.5232794470588235,0.281494828516853,-0.5232794470588235,0.5305608622173831
13,Laboratory,22,2.5,1.9347826863636364,0.5721199681818182,0.4569484651380559,-0.5652173136363636,0.6759796336710566
15,Field,11,1.75,2.1979199,0.4479199,0.23126709976971913,0.4479199,0.4809023807070611
15,Laboratory,44,1.75,1.9938359159090908,0.2655582795454545,0.08783025419906522,0.24383591590909087,0.29636169489167324
