Rank,Feature,Permutation importance (ΔRMSE),SD across permutations,Baseline validation RMSE,Model,Validation design
1,SI,0.5800639661944758,0.06254636087980997,0.4415151816871659,WeightedEnsemble_L2,KS image-level
2,luv_u,0.4953292384740833,0.08608750312845995,0.4415151816871659,WeightedEnsemble_L2,KS image-level
3,CI,0.45665825400616067,0.08649734166004884,0.4415151816871659,WeightedEnsemble_L2,KS image-level
4,entropy,0.41922305780935165,0.08417771515094864,0.4415151816871659,WeightedEnsemble_L2,KS image-level
5,xyz_Z,0.41459093951177556,0.08527084759452282,0.4415151816871659,WeightedEnsemble_L2,KS image-level
6,mean_r,0.4094401438105385,0.08099146851183965,0.4415151816871659,WeightedEnsemble_L2,KS image-level
7,lab_b,0.40108008304912646,0.09757192410960142,0.4415151816871659,WeightedEnsemble_L2,KS image-level
8,median_s,0.30831936553906175,0.08829619160866285,0.4415151816871659,WeightedEnsemble_L2,KS image-level
