Rank,Feature,Permutation importance (ΔRMSE),SD across permutations,Baseline validation RMSE,Model,Validation design
1,entropy,0.01016815449308704,0.0058953886486033365,1.9481804657332895,WeightedEnsemble_L2,Sample-grouped
2,SI,0.008600667213881412,0.005277912599243176,1.9481804657332895,WeightedEnsemble_L2,Sample-grouped
3,median_s,0.007160742245911056,0.002923651070518478,1.9481804657332895,WeightedEnsemble_L2,Sample-grouped
4,lab_b,0.0037397683913458807,0.0037920976297728622,1.9481804657332895,WeightedEnsemble_L2,Sample-grouped
5,mean_r,0.0024763292649278754,0.0031278664975109994,1.9481804657332895,WeightedEnsemble_L2,Sample-grouped
6,xyz_Z,0.002027074500142197,0.005180748192862528,1.9481804657332895,WeightedEnsemble_L2,Sample-grouped
7,luv_u,0.00037465168772230493,0.0022033227614064272,1.9481804657332895,WeightedEnsemble_L2,Sample-grouped
8,CI,-0.0033250414301002323,0.002505114100845415,1.9481804657332895,WeightedEnsemble_L2,Sample-grouped
9,median_h,-0.0037727713137745513,0.005879053739725017,1.9481804657332895,WeightedEnsemble_L2,Sample-grouped
