Sample_No,image_no,moisture,soil_type,soc,SI,luv_v,median_h,mean_r,CI,luv_u,median_s,xyz_Z,homogeneity
8,103,3.91,1,1.18,2.013245399,39.68541103,22,165.0045041,0.444325601,16.24950699,116,0.135746199,0.024945569
1,107,0.75,1,1.38,1.904631341,34.38866094,21,149.5976762,0.643666737,16.68024869,117,0.109157617,0.032592263
1,108,0.75,1,1.38,2.323044987,37.81529523,21,157.8910435,0.625789139,18.30283842,122,0.114744903,0.030429136
2,110,0.71,1,1.48,2.470900447,37.43970574,21,161.2184511,0.636438684,17.98378486,118,0.126468735,0.032994128
2,111,0.71,1,1.48,2.507582144,37.28622468,21,161.0831075,0.630126206,18.01907704,117,0.126497994,0.033446351
2,112,0.71,1,1.48,2.205087109,35.85909333,21,163.3921795,0.582901449,16.88639339,110,0.142642107,0.033694538
2,113,0.71,1,1.48,2.283885692,36.00010825,21,163.692343,0.556988726,16.9178601,110,0.142918516,0.033554321
4,116,0.69,1,1.32,1.894786755,32.23657376,21,149.1075614,0.718424307,15.50386649,109,0.118794995,0.037149444
4,117,0.69,1,1.32,1.764519586,31.53763185,21,148.1776945,0.679101094,14.9235735,106,0.12053212,0.034455273
4,118,0.69,1,1.32,2.438190383,39.99984468,21,169.5285993,0.568716715,19.45677411,120,0.136228947,0.028308876
5,119,0.87,1,2.2,1.772668747,30.93498881,20,146.5186344,0.643483256,15.16114512,107,0.11711358,0.035621967
5,120,0.87,1,2.2,1.799261986,31.12820695,20,147.8927176,0.646225765,15.20428125,106,0.120115219,0.037301905
5,121,0.87,1,2.2,1.89194546,32.79771015,20,154.1804648,0.596154124,16.09047509,107,0.129153436,0.032091513
6,122,0.62,1,1.49,1.581913066,29.75317239,21,147.782665,0.502062023,13.71467054,98,0.129669365,0.033601658
6,123,0.62,1,1.49,1.7273307,34.62017965,21,161.6867626,0.494106523,16.27099836,105,0.144334109,0.031268191
6,124,0.62,1,1.49,1.621869759,31.26103612,21,159.5556043,0.509847173,14.28172488,95,0.157969857,0.032551639
8,128,0.68,1,1.18,2.264788022,37.06990576,21,162.5983937,0.586882772,17.66624853,115,0.132943104,0.029276749
8,129,0.68,1,1.18,2.30591355,37.74502209,21,163.5931322,0.58637656,17.94193993,116,0.132429672,0.029779125
8,130,0.68,1,1.18,2.221075233,36.10341878,21,155.6548948,0.637581082,17.45332589,118,0.117278014,0.031510872
