feature,correlation,random_forest,anova,pca,mutual_info,r2_univariate,zscore
SI,99.99999999999999,100.0,100.0,92.54871098481131,56.132848995238014,99.99999999999999,91.44692666334156
lab_b,91.88496230807844,20.929784163466653,82.92486185272085,93.86008918750207,67.75492327006398,84.5697461816723,73.65406116058405
luv_v,89.9714488445194,22.245983745460265,79.19737126495417,95.98998983593877,67.73354536612501,81.11957762020737,72.70965277953417
mean_h,78.18343680975138,48.68868984156149,58.548210372077044,80.86399005524743,100.0,61.44968695633853,71.28900233916265
HI,75.25484692660086,63.911408429490606,53.99981510291594,76.97154657136905,88.28061605661372,56.98576176239355,69.23399914156396
median_h,83.54469031754915,0.14100486278799426,67.46096981543069,80.67041625774826,77.67445242631369,70.05763643992928,63.25819501995985
CI,75.6080047504747,50.691767074044044,54.536626000659076,68.77228781324384,36.43052219651799,57.51514223176266,57.25905834445038
median_s,65.78573691897766,35.32681293342669,40.75471814226969,41.6809479921472,45.14197022782993,43.70410769443271,45.39904898484732
mean_s,58.379237180145125,40.5989511157881,31.860735365773543,54.719413974467734,33.934508573629685,34.54174132735382,42.33909792285966
mean_v,49.2887349343687,3.813080148724683,22.58329706626125,74.37783206308994,52.66108548596801,24.76738950521207,37.91523653393744
mean_r,49.288790019976695,3.4736926445096867,22.58334803107766,74.38023287171808,52.66264497257338,24.767443822088154,37.859358726990614
luv_u,54.940907017873755,18.38417607467303,28.14509611110365,89.79439842881295,2.3846160262269183,30.654098477440144,37.383882022688404
lab_a,39.32927938478304,45.668576708264446,14.367149194080248,41.14841867515439,62.07560219143511,15.920039002076335,36.41817752596559
mean_g,45.62771737716473,3.5756115093069245,19.33278090786059,73.1378034827824,38.90641663474651,21.28895518088867,33.64488084879164
median_r,42.00683362369542,2.922876196100132,16.38265313356777,72.7834257233756,45.95774894702454,18.107326364718453,33.02681066474699
median_v,42.00683362369542,3.1931218351460404,16.38265313356777,72.78342572337553,45.64461770191268,18.107326364718453,33.01966306373598
lab_L,45.44139733764254,0.18276498592515952,19.174600705661256,71.01204913409696,36.48921503697652,21.118959880783223,32.23649784684761
luv_L,45.44139733764254,0.0,19.174600705661256,71.01204913409696,36.48921503697652,21.118959880783223,32.20603701586008
xyz_Y,43.82823144244823,0.21052211916198096,17.834094625018185,72.18066147421476,37.602834199953186,19.675612859800463,31.888659453432794
xyz_X,41.97664311790025,2.038704712092297,16.359146029682435,71.04779392527139,39.514089708198334,18.081879707486365,31.503042866771846
entropy,21.962178137989824,24.47699649980073,4.588607345804641,94.94226209466993,37.883600740160475,5.148112907644792,31.500292954345067
mean_gray,44.3137494864398,1.1620572139671077,18.232089989531726,72.50100743982169,32.2231228177035,20.10464895168043,31.422779316524043
median_gray,38.05996557578162,6.050987204996786,13.460322697334975,73.9707865265547,35.09763568418922,14.932288624091782,30.261997718824848
median_g,39.49285669649529,1.585064027414402,14.486277853504426,74.49682815471496,31.42586761914583,16.04963052149576,29.58942081212845
xyz_Z,3.8875737741455128,19.40039178062161,0.19669922697165654,98.77217776584338,52.787245243018454,0.22192911322303818,29.21100281730394
mean_b,0.0,24.685613716809176,0.0,100.00000000000001,49.981582436747466,0.0,29.11119935892611
homogeneity,13.620866224680384,50.3033877689451,1.8458540810385937,93.97000663965818,2.1021049487621006,2.078210270144585,27.320071655538158
contrast,24.818842218840057,22.77715064221331,5.814514758836031,89.29104249047599,12.677544868054623,6.513295399785098,26.982065063034185
energy,12.915889060760028,18.196973626754353,1.6706010588927758,95.59313370199338,31.446945721121654,1.8813192303961737,26.950810399986395
median_b,0.4564292440230268,12.359130007086497,0.009474266463326105,99.29316898078625,39.29051143169469,0.010692068493740553,25.236567666424587
RI,11.56122713201247,37.374752786495755,1.3583999532110322,0.0,0.0,1.530352090917683,8.637455327106156
