Composite_Rank,Model,Mean_RMSE,SD_RMSE,Mean_MAE,SD_MAE,Mean_R2,SD_R2,Mean_RPD,SD_RPD,Mean_RPIQ,SD_RPIQ,Folds_Evaluated,RMSE_Rank,RPD_norm,RPIQ_norm,RMSE_norm,R2_norm,MAE_norm,Composite_Score
1,WeightedEnsemble_L2,0.5255549774860944,0.17233016254041686,0.4374777730762493,0.1541114139138388,-1.2136044157861718,1.8896836935949446,0.9244645775433803,0.5237321243572027,1.8391371428122578,1.2191670602297704,4,1,1.0,1.0,1.0,1.0,1.0,1.0
2,NeuralNetTorch,0.5391049413740997,0.18541679241963044,0.44715122593743944,0.16646947476405452,-1.357761532443086,2.0935333001000944,0.9113781082703607,0.5295574905624164,1.814787052961059,1.2340177846832836,4,2,0.9401019513308326,0.9476307092587,0.884727689411085,0.8679338900682178,0.9179957563652339,0.9189787694911777
3,NeuralNetFastAI,0.559632875998749,0.15454841936562366,0.47982964976374315,0.14160978979047598,-1.4557039135934016,1.9617399936935607,0.8371156584860174,0.42443669994179517,1.6551308723591194,0.9722654351782979,4,3,0.600195461759577,0.6042610957713453,0.7100923564050533,0.778206309661887,0.6409727049785282,0.6519317385379084
4,LightGBMXT,0.5880510474845206,0.1434892769794035,0.5018493555524297,0.11980786064210235,-1.7328616621657569,2.219628592103926,0.7829529325764742,0.3711329930272113,1.5364612028755107,0.8183164201316048,4,4,0.35228737250335185,0.3490404185032847,0.46833316671623537,0.5242948376496148,0.454306232916022,0.40558685563848473
5,CatBoost,0.5938309456098301,0.14445769577541606,0.5130373035056828,0.12748373091117596,-1.808269981099702,2.301497353843992,0.7766245331184269,0.37080454654335177,1.522912048165647,0.8123897760208897,4,5,0.3233216697742317,0.31990050047276586,0.4191623927289524,0.4552113017892045,0.35946324118423933,0.3632250454125557
6,LightGBM,0.6104413463653856,0.13098578377735906,0.5216728492903699,0.10487926437813101,-1.925688758066228,2.3472565013795563,0.7431453995959956,0.3333071128357958,1.450538782665735,0.7061966650700686,4,6,0.17008440406937497,0.16424864842526296,0.2778543205653293,0.3476408851040364,0.286257591597858,0.2226215799891612
7,ExtraTreesMSE,0.6167784429011012,0.1398957475903067,0.5194432564705991,0.13453301874976703,-2.1221305263028674,2.577412386920485,0.7504441282210792,0.36790536187814266,1.4660879015743298,0.7736870037467178,4,7,0.2034913982163477,0.1976898527030023,0.2239433458841653,0.16767543656584688,0.30515839934690414,0.20584235718052757
8,XGBoost,0.6226517971046348,0.13990456915721491,0.5418269357891304,0.1273573862027212,-2.069477630805204,2.5268192522838295,0.731666467519575,0.3322367426669679,1.4281229900204462,0.7051806954585677,4,9,0.11754421023718047,0.11603941513653931,0.17397752194955238,0.21591213306949825,0.11540643398161396,0.14310297341656392
9,LightGBMLarge,0.622525298051986,0.1341298408053926,0.5554406056373808,0.1310128208970116,-2.0493334121088735,2.487232163533832,0.7279815232476992,0.32384645322484407,1.4190360413233254,0.6795714480473336,4,8,0.10067786021295747,0.0964962815719883,0.17505367522986093,0.2343667793785735,0.0,0.1295270734202904
10,RandomForestMSE,0.6431024077300089,0.1240916945849289,0.5456991680202994,0.11642020869015784,-2.3051570989944343,2.621275831570834,0.7059855191470109,0.3244334201732886,1.374168274482797,0.6611749310717899,4,10,0.0,0.0,0.0,0.0,0.08258056716324766,0.004129028358162383
