model,score_test,score_val,eval_metric,pred_time_test,pred_time_val,fit_time,pred_time_test_marginal,pred_time_val_marginal,fit_time_marginal,stack_level,can_infer,fit_order
CatBoost,-0.25729583977408854,-0.4690160434003148,root_mean_squared_error,0.01683330535888672,0.0024034976959228516,1.357165813446045,0.01683330535888672,0.0024034976959228516,1.357165813446045,1,True,4
ExtraTreesMSE,-0.37295860136815956,-0.5157871326657193,root_mean_squared_error,0.138352632522583,0.12520384788513184,1.0847537517547607,0.138352632522583,0.12520384788513184,1.0847537517547607,1,True,5
RandomForestMSE,-0.3908485244021388,-0.5252935147648636,root_mean_squared_error,0.14938974380493164,0.1084127426147461,1.2413790225982666,0.14938974380493164,0.1084127426147461,1.2413790225982666,1,True,3
WeightedEnsemble_L2,-0.4269322451854544,-0.3665720739756094,root_mean_squared_error,0.04488563537597656,0.024880409240722656,4.149174213409424,0.006024360656738281,0.0010192394256591797,0.025561809539794922,2,True,9
XGBoost,-0.46130077022803745,-0.3686204287391163,root_mean_squared_error,0.022027969360351562,0.021457672119140625,2.766446590423584,0.022027969360351562,0.021457672119140625,2.766446590423584,1,True,6
LightGBMLarge,-0.5837812881144823,-0.447759868272853,root_mean_squared_error,0.0038955211639404297,0.017009496688842773,0.758589506149292,0.0038955211639404297,0.017009496688842773,0.758589506149292,1,True,8
NeuralNetTorch,-0.7721035493075123,-0.5927249829890029,root_mean_squared_error,0.025045394897460938,0.01762080192565918,7.888974189758301,0.025045394897460938,0.01762080192565918,7.888974189758301,1,True,7
LightGBM,-0.8066422195987085,-0.5980236331821231,root_mean_squared_error,0.0044744014739990234,0.012563943862915039,0.3601796627044678,0.0044744014739990234,0.012563943862915039,0.3601796627044678,1,True,2
LightGBMXT,-0.8066422195987085,-0.5980236331821231,root_mean_squared_error,0.005006313323974609,0.015002965927124023,0.6940076351165771,0.005006313323974609,0.015002965927124023,0.6940076351165771,1,True,1
