Model,Mean_RMSE,SD_RMSE,Mean_MAE,Mean_R2,Folds_Evaluated
WeightedEnsemble_L2,0.5926407720631647,0.19291135165822662,0.48927671428521474,0.14643165940396768,4
LightGBMLarge,0.6177839091414642,0.16962676132210103,0.5106456908186277,0.023095192585205954,4
CatBoost,0.7238177283599805,0.2582719166840777,0.609756907025973,-0.2502041823547144,4
NeuralNetTorch,0.7318324679305818,0.25709807445718386,0.5873454258441925,-0.3274821499992524,4
ExtraTreesMSE,0.7709022686134993,0.25162401707083093,0.624528886159261,-0.47992813018139596,4
RandomForestMSE,0.7993414210798081,0.2378517844995714,0.6777980737686157,-0.609043093703248,4
XGBoost,0.7995414104038963,0.2519519474033659,0.7099863839149475,-0.6769611565011109,4
LightGBM,0.8633937922736478,0.28597138331245664,0.7148645591735839,-1.0017591411217521,4
LightGBMXT,0.8633937922736478,0.28597138331245664,0.7148645591735839,-1.0017591411217521,4
