Fold,Model,RMSE,MAE,R2,N_Train_Groups,N_Tune_Groups
1,LightGBMXT,0.6419166674732256,0.5443332386016846,-2.559631484960897,12,4
1,LightGBM,0.6419166674732256,0.5443332386016846,-2.559631484960897,12,4
1,RandomForestMSE,0.5042915919794221,0.47327222347259523,-1.1969045546711397,12,4
1,CatBoost,0.4069306056435093,0.341343998114268,-0.4305019175816862,12,4
1,ExtraTreesMSE,0.49049541798845897,0.3951555283864339,-1.0783450153423644,12,4
1,XGBoost,0.5695161381237422,0.46483816623687746,-1.801946281045697,12,4
1,NeuralNetTorch,0.40472740150739156,0.2971261692047119,-0.4150538005695088,12,4
1,LightGBMLarge,0.38986478478374514,0.341879548629125,-0.31303333451422644,12,4
1,WeightedEnsemble_L2,0.327219793118325,0.24698100646336882,0.07503166359456248,12,4
2,LightGBMXT,1.2834625957442054,0.9284999942779539,-0.6445397205794094,12,4
2,LightGBM,1.2834625957442054,0.9284999942779539,-0.6445397205794094,12,4
2,RandomForestMSE,1.072422825103612,0.7856400108337401,-0.1481801440435242,12,4
2,CatBoost,1.0373085783873912,0.7638123846054076,-0.07422158208348373,12,4
2,ExtraTreesMSE,1.0903809121664532,0.7714333152770995,-0.18695543976517737,12,4
2,XGBoost,1.1576201960760313,0.9854771232604979,-0.3378583221151097,12,4
2,NeuralNetTorch,1.0046191536208933,0.7037714233398437,-0.0075830256672497764,12,4
2,LightGBMLarge,0.7840474719450115,0.5526668300628661,0.38629077388888533,12,4
2,WeightedEnsemble_L2,0.7840474719450115,0.5526668300628661,0.38629077388888533,12,4
3,LightGBMXT,0.771502422648191,0.6736249942779542,-0.6320880628030685,12,4
3,LightGBM,0.771502422648191,0.6736249942779542,-0.6320880628030685,12,4
3,RandomForestMSE,0.7476708116051848,0.6912667055130005,-0.5328153928925887,12,4
3,CatBoost,0.6989318477537204,0.6733445901870728,-0.3394874849310925,12,4
3,ExtraTreesMSE,0.6862279432638397,0.6315933485031129,-0.29123650963026626,12,4
3,XGBoost,0.7119725890252956,0.686096908569336,-0.38993838024925487,12,4
3,NeuralNetTorch,0.8467775229234789,0.7322174329757691,-0.9661092343442832,12,4
3,LightGBMLarge,0.5994776346692812,0.5463319082260132,0.014594526760161708,12,4
3,WeightedEnsemble_L2,0.5994776346692812,0.5463319082260132,0.014594526760161708,12,4
4,LightGBMXT,0.7566934832289689,0.7130000095367431,-0.17077729614363357,12,4
4,LightGBM,0.7566934832289689,0.7130000095367431,-0.17077729614363357,12,4
4,RandomForestMSE,0.8729804556310133,0.7610133552551269,-0.5582722832057394,12,4
4,CatBoost,0.752099881655301,0.6605266551971435,-0.15660574482259526,12,4
4,ExtraTreesMSE,0.8165048010352453,0.6999333524703979,-0.36317555598777584,12,4
4,XGBoost,0.7590567183905158,0.7035333375930786,-0.17810164259438221,12,4
4,NeuralNetTorch,0.6712057936705634,0.6162666778564453,0.07881746058403205,12,4
4,LightGBMLarge,0.6977457451678191,0.6017044763565063,0.004528804206003212,12,4
4,WeightedEnsemble_L2,0.659818188520041,0.6111271123886108,0.10980967337226122,12,4
