Moisture_Class,N_Physical_Soils,Mean_Soil_MAE,SD_Soil_MAE,Mean_Soil_RMSE,Mean_Soil_Bias
Dry,4,1.429464355892857,2.1248216006127163,1.4577571626392791,-1.2428161335119046
Moist,4,1.3363609132965684,2.096996791933654,1.365458117844223,-1.1188982721200982
Wet,4,1.2686149394117647,1.6426070075590158,1.319595110672421,-1.0881846256862744
