Moisture_Class,N_Soil_Condition_Rows,N_Physical_Soils,R2,RMSE,MAE,RPD,RPIQ,Bias
Dry,4,4,-0.3426487599502841,2.326725619238717,1.3706158173214282,0.9965249136542735,0.6565019903377278,-1.242816133511905
Moist,4,4,-0.2608681708668448,2.2547521259823364,1.3363609132965686,1.0283347868222446,0.6774580595348183,-1.1188982721200982
Wet,6,4,-0.5981052304184935,2.287613949825096,1.553718517320261,0.8665386467380785,1.1474838226968758,-1.4108896937908495
