Comparison,N_Paired_Physical_Soils,Mean_MAE_First,Mean_MAE_Second,Mean_Difference_FirstMinusSecond,Exact_SignFlip_P
Dry - Moist,4,1.4294643558928573,1.3363609132965686,0.0931034425962885,0.25
Dry - Wet,4,1.4294643558928573,1.2686149394117647,0.16084941648109233,0.75
Moist - Wet,4,1.3363609132965686,1.2686149394117647,0.06774597388480383,0.75
