Moisture_Class,Metric,Estimate,CI_Lower,CI_Upper,Valid_Bootstrap_Replicates
Dry,R2,-0.29035019181126076,-8.85480005002096,-0.1391429439645242,4934
Dry,RMSE,2.056531134428885,0.27283015835994623,3.8091083645110455,5000
Dry,MAE,1.2067636063291136,0.2459704444444444,3.219198746969697,5000
Dry,RPD,0.8859566023366194,0.3204172245472218,0.9435131591812267,4934
Dry,RPIQ,0.3646917799804091,0.1673716973675709,1.730460002100847,4064
Dry,Bias,-1.0280452291139244,-3.077361502739726,0.1462171055555555,5000
Moist,R2,-0.11045136634396346,-21.029202047187614,0.003910304453996427,4934
Moist,RMSE,1.9454545755290196,0.37778483984473693,3.8752725506574484,5000
Moist,MAE,1.1052895515151517,0.28545717857142844,3.3762489749999998,5000
Moist,RPD,0.9636785877396568,0.21727876622340161,1.0141063290131187,4934
Moist,RPIQ,0.38551401273198865,0.17338042690840594,1.9313706918575018,3761
Moist,Bias,-0.7332940787878789,-3.334388825,0.32304869999999997,5000
Wet,R2,-0.08386206225612036,-4.919160943761086,0.20896184580211996,4965
Wet,RMSE,1.620322618620695,0.3342358732397025,3.358926926472742,5000
Wet,MAE,0.9635682172413793,0.30095025499999994,3.0980896631578942,5000
Wet,RPD,0.9775364848796771,0.4229428792581035,1.1457674820733046,4965
Wet,RPIQ,0.9812860610151161,0.403216510661291,2.3652809128250376,3611
Wet,Bias,-0.5992499137931033,-3.0819705052631576,0.211998085,5000
