Sample_No,Moisture_Class,N_Images,Mean_Observed_SOC,Mean_Predicted_SOC,Soil_MAE,Soil_MSE,Soil_Bias,Soil_RMSE
3,Dry,15,2.12,2.137295153333333,0.24265465999999997,0.07743038969068866,0.017295153333333216,0.2782631662485868
3,Moist,2,2.12,2.2037202999999996,0.08372029999999975,0.007603239007129955,0.08372029999999975,0.08719655387187016
3,Wet,4,3.035,2.2478515,0.8637144999999998,0.9181899755119547,-0.7871484999999999,0.9582222996319564
7,Dry,15,6.72,2.114399973333333,4.605600026666666,21.24657734144408,-4.605600026666666,4.609400974252954
7,Moist,6,6.72,2.246241466666667,4.473758533333333,20.021115376169742,-4.473758533333333,4.474496103045542
7,Wet,5,5.892,2.1980769600000003,3.69392304,14.0461767965494,-3.69392304,3.7478229409284265
13,Dry,28,2.5,1.8787361249999999,0.621263875,0.4549263389395154,-0.621263875,0.6744822747407936
13,Moist,8,2.5,2.0632401625,0.4367598374999999,0.2440599948735512,-0.4367598374999999,0.494024285712303
13,Wet,3,2.5,2.3529785666666667,0.19764089999999998,0.04928695617629664,-0.14702143333333328,0.2220066579548835
15,Dry,21,1.75,1.9883042142857141,0.24833886190476187,0.07229765646787381,0.2383042142857143,0.268882235314782
15,Moist,17,1.75,2.1012049823529413,0.3512049823529412,0.1649298226895994,0.3512049823529412,0.4061155287471773
15,Wet,17,1.75,2.0253544705882356,0.3191813176470588,0.12273008886336703,0.27535447058823526,0.35032854417441783
