Moisture_Class,Model_RMSE,Baseline_RMSE,Delta_RMSE_ModelMinusBaseline,Model_MAE,Baseline_MAE,Delta_MAE_ModelMinusBaseline
Dry,2.056531134428885,2.068825252491271,-0.012294118062385895,1.2067636063291136,1.1492843047600714,0.05747930156904224
Moist,1.9454545755290196,2.023886273759134,-0.07843169823011453,1.1052895515151517,1.1163198525175713,-0.01103030100241953
Wet,1.620322618620695,1.702636874073629,-0.08231425545293414,0.9635682172413793,1.0169922643241118,-0.05342404708273252
