Moisture_Class,N_Images,N_Physical_Soils,Mean_Observed_SOC,Mean_Predicted_SOC,R2,RMSE,MAE,RPD,RPIQ,Bias
Dry,79,4,3.0297468354430377,2.0017016063291138,-0.29035019181126076,2.056531134428885,1.2067636063291136,0.8859566023366194,0.3646917799804091,-1.0280452291139244
Moist,33,4,2.857878787878788,2.124584709090909,-0.11045136634396346,1.9454545755290196,1.1052895515151517,0.9636785877396568,0.38551401273198865,-0.7332940787878789
Wet,29,4,2.718965517241379,2.1197156034482756,-0.08386206225612036,1.620322618620695,0.9635682172413793,0.9775364848796771,0.9812860610151161,-0.5992499137931033
