Moisture_Class,N_Images,N_Physical_Soils,R2,RMSE,MAE,RPD,RPIQ,Bias,R2_CI_Lower,R2_CI_Upper,RMSE_CI_Lower,RMSE_CI_Upper,MAE_CI_Lower,MAE_CI_Upper,RPD_CI_Lower,RPD_CI_Upper,RPIQ_CI_Lower,RPIQ_CI_Upper,Bias_CI_Lower,Bias_CI_Upper
Dry,79,4,-0.29035019181126076,2.056531134428885,1.2067636063291136,0.8859566023366194,0.3646917799804091,-1.0280452291139244,-8.85480005002096,-0.1391429439645242,0.27283015835994623,3.8091083645110455,0.2459704444444444,3.219198746969697,0.3204172245472218,0.9435131591812267,0.1673716973675709,1.730460002100847,-3.077361502739726,0.1462171055555555
Moist,33,4,-0.11045136634396346,1.9454545755290196,1.1052895515151517,0.9636785877396568,0.38551401273198865,-0.7332940787878789,-21.029202047187614,0.003910304453996427,0.37778483984473693,3.8752725506574484,0.28545717857142844,3.3762489749999998,0.21727876622340161,1.0141063290131187,0.17338042690840594,1.9313706918575018,-3.334388825,0.32304869999999997
Wet,29,4,-0.08386206225612036,1.620322618620695,0.9635682172413793,0.9775364848796771,0.9812860610151161,-0.5992499137931033,-4.919160943761086,0.20896184580211996,0.3342358732397025,3.358926926472742,0.30095025499999994,3.0980896631578942,0.4229428792581035,1.1457674820733046,0.403216510661291,2.3652809128250376,-3.0819705052631576,0.211998085
