Rank,Model,Composite,RPD,RPIQ,RMSE,R²,MAE
1,XGBoost,0.17843889636704902,0.868094205288842,1.4420615444037082,2.3716047441055426,-0.3269858306273632,1.5059277248382568
2,NeuralNetTorch,0.17738594819796266,0.8858008755332037,1.4714755274521674,2.324197675187753,-0.274464637364614,1.6835539550781249
3,WeightedEnsemble_L2,0.17682888801050328,0.8624215748244285,1.4326382788197365,2.3872041188355864,-0.34449990208598913,1.5269156885147095
4,ExtraTreesMSE,0.1723294754430818,0.8525579951193818,1.4162530882538393,2.4148226248294846,-0.3757899639000897,1.6314066858291625
5,LightGBMLarge,0.16756619243484308,0.8270299828830167,1.3738464409949964,2.4893611818239996,-0.4620340619390031,1.626573345184326
6,CatBoost,0.16446602336409483,0.8221125772783543,1.365677740550372,2.5042511117020405,-0.47957646711640445,1.7129474372863769
7,RandomForestMSE,0.1611905698094715,0.8094561628061676,1.3446531461121427,2.54340683312154,-0.5262066170513906,1.7471066427230835
8,LightGBMXT,0.15930555302973073,0.7938893199729814,1.3187938035652758,2.593278790629927,-0.5866461453727254,1.7033750076293945
9,LightGBM,0.15930555302973073,0.7938893199729814,1.3187938035652758,2.593278790629927,-0.5866461453727254,1.7033750076293945
