Model,Mean_RMSE,SD_RMSE,Mean_R2,Folds
WeightedEnsemble_L2,0.5151244395911797,0.18033980886436374,0.17017020239661163,4
NeuralNetTorch,0.5384522904966309,0.20902477054770002,0.10055913354820734,4
LightGBMXT,0.5568401953709687,0.15876498822939056,0.002650377812791538,4
CatBoost,0.5605730565883206,0.15516179034351893,-0.012127730135499032,4
LightGBM,0.5724471991453518,0.144763112510825,-0.059731542006696614,4
LightGBMLarge,0.5905466408138016,0.12743550969603065,-0.12240886183684557,4
XGBoost,0.5951633534401237,0.12485427328304861,-0.1438988434780277,4
ExtraTreesMSE,0.6208654589703559,0.20649366118921245,-0.28339101486481955,4
RandomForestMSE,0.6438633910543765,0.19866774737592122,-0.3610506316140283,4
