model,score_test,score_val,eval_metric,pred_time_test,pred_time_val,fit_time,pred_time_test_marginal,pred_time_val_marginal,fit_time_marginal,stack_level,can_infer,fit_order
LightGBMLarge,-1.8041869662041798,-0.5306311528755631,root_mean_squared_error,0.002999544143676758,0.006181240081787109,0.5303864479064941,0.002999544143676758,0.006181240081787109,0.5303864479064941,1,True,8
ExtraTreesMSE,-1.8102536729271688,-0.48500777911945026,root_mean_squared_error,0.10602927207946777,0.07851862907409668,0.43508052825927734,0.10602927207946777,0.07851862907409668,0.43508052825927734,1,True,5
RandomForestMSE,-1.8178303810308152,-0.5131307867134941,root_mean_squared_error,0.07892704010009766,0.048514604568481445,0.4947538375854492,0.07892704010009766,0.048514604568481445,0.4947538375854492,1,True,3
WeightedEnsemble_L2,-1.8197154770019357,-0.4740461408254435,root_mean_squared_error,0.1290273666381836,0.08851361274719238,2.587052583694458,0.0019996166229248047,0.0,0.007998943328857422,2,True,9
CatBoost,-1.8216142142791636,-0.5009820596776788,root_mean_squared_error,0.005585193634033203,0.0010023117065429688,0.6283788681030273,0.005585193634033203,0.0010023117065429688,0.6283788681030273,1,True,4
NeuralNetTorch,-1.826213328009945,-0.4942953118689732,root_mean_squared_error,0.008000612258911133,0.001999378204345703,1.850590705871582,0.008000612258911133,0.001999378204345703,1.850590705871582,1,True,7
LightGBM,-1.830249371152888,-0.5120998878014978,root_mean_squared_error,0.0030045509338378906,0.008002758026123047,0.20281696319580078,0.0030045509338378906,0.008002758026123047,0.20281696319580078,1,True,2
LightGBMXT,-1.8424454130155463,-0.5141678909502623,root_mean_squared_error,0.0030002593994140625,0.00800013542175293,0.2518022060394287,0.0030002593994140625,0.00800013542175293,0.2518022060394287,1,True,1
XGBoost,-1.8572186835022517,-0.5115774955978744,root_mean_squared_error,0.012997865676879883,0.00799560546875,0.2933824062347412,0.012997865676879883,0.00799560546875,0.2933824062347412,1,True,6
