Fold,Model,RMSE,MAE,R2,N_Train_Groups,N_Tune_Groups
1,LightGBMXT,0.46367363584127635,0.4232307605743407,-0.13546370930300733,11,4
1,LightGBM,0.46367363584127635,0.4232307605743407,-0.13546370930300733,11,4
1,RandomForestMSE,0.4772289407418544,0.41460667610168445,-0.20282375930366148,11,4
1,CatBoost,0.4371752830200039,0.38258613872528063,-0.009391520637678674,11,4
1,ExtraTreesMSE,0.5046020344502992,0.450713334083557,-0.34476515322049317,11,4
1,XGBoost,0.46869618946681335,0.4211359195709227,-0.16019582358411721,11,4
1,NeuralNetTorch,0.4088151876143242,0.36721679496765125,0.11732160710592787,11,4
1,LightGBMLarge,0.44504530914745766,0.3985167198181151,-0.04606075288446543,11,4
1,WeightedEnsemble_L2,0.4088151876143242,0.36721679496765125,0.11732160710592787,11,4
2,LightGBMXT,0.5894138076225724,0.5352307605743408,-0.0022867859998927376,11,4
2,LightGBM,0.5894138076225724,0.5352307605743408,-0.0022867859998927376,11,4
2,RandomForestMSE,0.48762676901802526,0.45441332340240476,0.31399627869758306,11,4
2,CatBoost,0.44299571033612734,0.40924537658691407,0.43382533011687274,11,4
2,ExtraTreesMSE,0.43316927976421604,0.37601337909698485,0.4586642713220115,11,4
2,XGBoost,0.6075423462984791,0.5568020153045654,-0.06488939502464142,11,4
2,NeuralNetTorch,0.4698530116034732,0.3051330852508545,0.36309387762580625,11,4
2,LightGBMLarge,0.5742546203976265,0.4841938066482544,0.04860603939800212,11,4
2,WeightedEnsemble_L2,0.43307540658256294,0.37246935844421386,0.45889887429705445,11,4
3,LightGBMXT,0.6139147498925581,0.5817857098579406,-0.5288545805771048,12,3
3,LightGBM,0.6139147498925581,0.5817857098579406,-0.5288545805771048,12,3
3,RandomForestMSE,0.3536491881584977,0.3242750179767609,0.4926643580451202,12,3
3,CatBoost,0.2946332242204491,0.2705958199501038,0.6478615244700965,12,3
3,ExtraTreesMSE,0.38806908466937556,0.3669833254814148,0.389102798565517,12,3
3,XGBoost,0.2589045662836215,0.22931581377983096,0.7280873181349892,12,3
3,NeuralNetTorch,0.21864725779351046,0.17607497811317446,0.8060730741956876,12,3
3,LightGBMLarge,0.25752981707949035,0.22940039753913882,0.73096729281243,12,3
3,WeightedEnsemble_L2,0.21864725779351046,0.17607497811317446,0.8060730741956876,12,3
4,LightGBMXT,0.5765887694977179,0.5,-0.14936770651993925,11,4
4,LightGBM,0.5765887694977179,0.5,-0.14936770651993925,11,4
4,RandomForestMSE,0.8078567611002297,0.7369082868099213,-1.2562922954376967,11,4
4,CatBoost,0.5712205000600353,0.5228661298751831,-0.12806520203573668,11,4
4,ExtraTreesMSE,0.7857044572585186,0.7201083302497864,-1.1342488994153954,11,4
4,XGBoost,0.5553401180778252,0.5243304967880249,-0.06621485478545508,11,4
4,NeuralNetTorch,0.5446549757448397,0.4994958639144898,-0.0255800954316745,11,4
4,LightGBMLarge,0.5748510381704284,0.5166465044021606,-0.1424501852571105,11,4
4,WeightedEnsemble_L2,0.5446549757448397,0.4994958639144898,-0.0255800954316745,11,4
