filename,Numeric numbers,mean_r,mean_g,mean_b,median_r,median_g,median_b,mean_h,mean_s,mean_v,median_h,median_s,median_v,mean_gray,median_gray,contrast,energy,homogeneity,entropy,RI,CI,HI,SI,lab_L,lab_a,lab_b,luv_L,luv_u,luv_v,xyz_X,xyz_Y,xyz_Z,image_path,image_no,soc,moisture,soil_type,Sample_No,Mahalanobis_Distance,Is_Outlier
31.jpg,31,173.0173988,151.6491151,119.6129424,174.0,152.0,120,18.18496891,79.10285794,173.0173988,19,79,174.0,0.603451244,0.60678549,134.6242193,0.026151012,0.111004727,11.04777316,1.641681544,0.403724645,2.338577288,2.255117479,63.81675183,2.983005771,19.80325074,63.81675183,15.44577246,25.69532605,0.317756655,0.325767821,0.222554763,/Users/dharamkar.1/Library/CloudStorage/OneDrive-TheOhioStateUniversity/VSCode_image_processing_project/data/Step2_output/enhanced_sample_field/31.jpg,31,2.2,0.0,1,5,11.969108561180166,True
33.jpg,33,154.6015226,150.8132374,133.1600167,156.0,152.0,134,24.8852838,36.159658,154.6021405,26,35,156.0,0.589590003,0.593771765,758.8411675,0.01202257,0.045400701,13.11165732,1.658813442,0.125766098,1.437195173,0.71885773,62.25405458,-1.774780865,9.808162356,62.25405458,3.238689016,13.83556739,0.287217908,0.307005799,0.266546793,/Users/dharamkar.1/Library/CloudStorage/OneDrive-TheOhioStateUniversity/VSCode_image_processing_project/data/Step2_output/enhanced_sample_field/33.jpg,33,2.2,0.0,1,5,14.108916696502213,True
34.jpg,34,163.1113879,146.681521,114.8004624,164.0,148.0,116,19.57421875,76.23594946,163.1113879,20,75,164.0,0.579898994,0.584112157,240.3574231,0.019952162,0.085353439,11.75907869,1.39133379,0.500540293,2.037173742,2.517480503,61.48209028,1.055950258,19.14599189,61.48209028,12.17205893,25.01445112,0.285944237,0.298009437,0.204007961,/Users/dharamkar.1/Library/CloudStorage/OneDrive-TheOhioStateUniversity/VSCode_image_processing_project/data/Step2_output/enhanced_sample_field/34.jpg,34,1.49,0.0,1,6,8.597710064465945,True
36.jpg,36,153.2465322,152.4035395,135.6382533,156.0,155.0,138,28.58677455,31.03214684,153.5837651,28,30,156.0,0.593623131,0.604993333,846.9474095,0.011001275,0.044726372,13.4094383,1.550136354,1.866475132,1.117068548,0.58651327,62.63537247,-2.746280817,8.939501036,62.63537247,1.421626252,12.87027149,0.288947391,0.311515655,0.276420153,/Users/dharamkar.1/Library/CloudStorage/OneDrive-TheOhioStateUniversity/VSCode_image_processing_project/data/Step2_output/enhanced_sample_field/36.jpg,36,1.49,0.0,1,6,23.075559876690576,True
40.jpg,40,164.8457031,142.5046237,106.6189214,165.0,143.0,107,18.45986129,90.79047752,164.8457031,18,90,165.0,0.567312721,0.568656078,223.503143,0.020191369,0.087330852,11.73770723,2.593214114,0.685434488,2.250695852,3.223579456,60.36810471,2.993696732,22.2278638,60.36810471,16.46925543,28.09387905,0.278673797,0.285339614,0.178407706,/Users/dharamkar.1/Library/CloudStorage/OneDrive-TheOhioStateUniversity/VSCode_image_processing_project/data/Step2_output/enhanced_sample_field/40.jpg,40,1.18,0.0,1,8,9.906114520455347,True
42.jpg,42,169.8370336,165.8532765,144.1273717,171.0,167.0,146,25.3060228,40.14371413,169.8371134,24,38,171.0,0.64758191,0.653413725,1263.869415,0.009756581,0.03628265,13.70862727,1.641253785,0.09064454,1.372665599,0.715212375,67.8470484,-2.3633635,11.78008401,67.8470484,3.583996293,16.86372379,0.351949108,0.377649896,0.318643671,/Users/dharamkar.1/Library/CloudStorage/OneDrive-TheOhioStateUniversity/VSCode_image_processing_project/data/Step2_output/enhanced_sample_field/42.jpg,42,1.18,0.0,1,8,15.721931435045153,True
43.jpg,43,163.4334542,145.3028938,120.4803093,164.0,146.0,121,17.34843351,67.48413584,163.4334542,17,67,164.0,0.577905606,0.580174902,153.1295444,0.023711871,0.102470134,11.28687145,1.32791746,0.495532153,2.466001916,2.158370128,61.25920715,2.756346977,15.66195817,61.25920715,12.79345431,20.43562936,0.287842379,0.295445088,0.221037896,/Users/dharamkar.1/Library/CloudStorage/OneDrive-TheOhioStateUniversity/VSCode_image_processing_project/data/Step2_output/enhanced_sample_field/43.jpg,43,3.11,0.0,1,9,9.460725476223233,True
109.jpg,109,167.2584702,140.2773238,79.34749681,170.0,143.0,82,20.82393973,143.8741231,167.2584702,21,133,170.0,0.555363831,0.566625098,2037.126541,0.007578458,0.028999188,14.38394523,1.85266416,0.602567973,1.889963752,2.444139709,59.57305946,2.265282355,36.07479654,59.57305946,21.50578071,42.39923865,0.268345633,0.276520316,0.113854164,/Users/dharamkar.1/Library/CloudStorage/OneDrive-TheOhioStateUniversity/VSCode_image_processing_project/data/Step2_output/enhanced_sample_field/109.jpg,109,1.38,0.75,1,1,8.174705895009415,True
138.jpg,138,162.5911193,131.3907645,73.97700096,165.0,133.0,75,19.30309311,147.3547712,162.5911193,19,138,165.0,0.525024735,0.532118824,1908.893918,0.00824657,0.029816234,14.17995336,1.778269596,0.801391212,2.092297325,2.684679829,56.66070007,4.694625497,35.25308929,56.66070007,24.46154548,40.31953844,0.24425751,0.245767678,0.099298964,/Users/dharamkar.1/Library/CloudStorage/OneDrive-TheOhioStateUniversity/VSCode_image_processing_project/data/Step2_output/enhanced_sample_field/138.jpg,138,1.48,19.86,1,2,7.690715594513439,True
214.jpg,214,146.2017498,129.538345,99.5739198,151.0,132.0,101,20.31186224,96.32142857,146.2822864,19,83,151.0,0.513407386,0.523911765,4189.38521,0.005822668,0.027999951,15.08757262,1.642917766,0.593665819,2.222964374,0.96744393,54.95353926,1.584061893,18.58551416,54.95353926,12.27288904,23.46077377,0.220911069,0.228848581,0.151988763,/Users/dharamkar.1/Library/CloudStorage/OneDrive-TheOhioStateUniversity/VSCode_image_processing_project/data/Step2_output/enhanced_sample_field/214.jpg,214,2.05,13.26,2,10,10.106595530880403,True
